id,contig,og,description,start_coord,end_coord
39,0,OG0002762,hypothetical_protein,4601624,4602097
40,0,OG0002761,Primosomal_protein_1,4600978,4601517
41,0,OG0002760,DNA_replication_protein_DnaC,4600238,4600975
42,0,OG0002759,hypothetical_protein,4599695,4600189
43,0,OG0002758,Phosphoglycerol_transferase_I,4597150,4599441
44,0,PG0003325_0,L-galactonate-5-dehydrogenase,4595851,4597150
45,0,PG0003464_0,putative_HTH-type_transcriptional_regulator_LgoR,4594722,4595990
46,0,PG0000168_0,putative_L-galactonate_transporter,4593312,4594937
47,0,OG0003463,Methyl-accepting_chemotaxis_protein_I,4591657,4593312
48,0,OG0003492,Inner_membrane_protein_YjiY,4589129,4591279
49,0,OG0003491,hypothetical_protein,4588876,4589079
50,0,OG0003490,putative_GTP-binding_protein_YjiA,4587909,4588865
51,0,PG0004423_0,Mrr_restriction_system_protein,4586761,4587909
52,0,PG0004534_0,Putative_DNA_repair_helicase_RadD,4583048,4586949
53,0,PG0000166_0,Type_I_restriction_enzyme_EcoKI_M_protein,4581462,4583249
54,0,PG0004517_0,Type-1_restriction_enzyme_EcoKI_specificity_protein,4579840,4581459
55,0,PG0003951_0,Toxic_protein_SymE,4579355,4580068
56,0,PG0004251_0,5-methylcytosine-specific_restriction_enzyme_B,4577958,4579499
57,0,OG0005093,hypothetical_protein,4576912,4577958
58,0,PG0005092_0,hypothetical_protein,4573931,4576912
59,0,OG0005307,hypothetical_protein,4572414,4573931
60,0,OG0003976,hypothetical_protein,4571751,4571915
61,0,PG0000079_1,HTH-type_transcriptional_regulator_NorG,4569918,4571751
62,0,PG0000197_0,hypothetical_protein,4568519,4570162
63,0,PG0003644_0,Multidrug_resistance_protein_MdtM,4567246,4568998
64,0,PG0003216_0,hypothetical_protein,4565850,4567287
65,0,OG0003373,_R_-phenyllactyl-CoA_dehydratase_beta_subunit,4564699,4565850
66,0,OG0003372,_R_-phenyllactate_dehydratase_activator,4563922,4564689
67,0,OG0003371,hypothetical_protein,4563668,4563925
68,0,PG0003355_0,hypothetical_protein,4562675,4563668
69,0,PG0003354_0,hypothetical_protein,4561484,4562743
70,0,PG0003623_0,RNA_2'-phosphotransferase,4560680,4561497
71,0,PG0003286_0,hypothetical_protein,4560000,4560930
72,0,OG0003370,Inner_membrane_protein_YjiG,4559539,4560000
73,0,OG0003369,Isoaspartyl_dipeptidase,4558354,4559526
74,0,OG0003368,HTH-type_transcriptional_regulator_YjiE,4557378,4558289
75,0,PG0003353_0,Anti-adapter_protein_IraD,4556675,4557378
76,0,OG0004313,hypothetical_protein,4556574,4556675
77,0,PG0003622_0,hypothetical_protein,4555349,4556574
78,0,PG0003215_0,Pyruvate_dehydrogenase_complex_repressor,4554577,4555490
79,0,PG0003922_0,hypothetical_protein,4554361,4554624
80,0,PG0003214_0,Polyol_NADP_oxidoreductase,4552820,4554383
81,0,PG0003213_0,Mannonate_dehydratase,4551296,4552901
82,0,PG0003583_0,High-affinity_gluconate_transporter,4549710,4551636
83,0,OG0003596,S-fimbrial_protein_subunit_SfaH,4548808,4549710
84,0,OG0003621,S-fimbrial_adhesin_protein_SfaS,4548285,4548788
85,0,PG0000078_1,putative_fimbrial-like_protein_YcbV,4547732,4548285
86,0,PG0000028_2,putative_outer_membrane_usher_protein_ElfC,4545029,4547742
87,0,PG0000091_0,Chaperone_protein_FimC,4544267,4545096
88,0,PG0000132_0,putative_major_fimbrial_subunit_LpfA,4543663,4544304
89,0,PG0000102_0,Type-1_fimbrial_protein__A_chain,4542633,4543770
90,0,OG0003677,Tyrosine_recombinase_XerD,4542037,4542633
91,0,PG0000294_0,Tyrosine_recombinase_XerC,4539501,4542037
92,0,PG0000308_0,putative_N-acetylneuraminic_acid_outer_membrane_channel_protein_NanC,4538765,4540957
93,0,PG0000270_0,N-acetylneuraminate_epimerase,4537594,4538785
94,0,PG0000020_0,putative_9-O-acetyl-N-acetylneuraminic_acid_deacetylase,4536031,4537659
95,0,PG0004164_0,hypothetical_protein,4534053,4536614
96,0,PG0004433_0,hypothetical_protein,4533784,4535015
97,0,OG0004516,hypothetical_protein,4533239,4533784
98,0,OG0004515,Ubiquinone/menaquinone_biosynthesis_C-methyltransferase_UbiE,4532437,4533183
99,0,OG0004528,Putative_aminopeptidase_YsdC,4530530,4531651
100,0,PG0000093_1,PTS_system_galactitol-specific_EIIB_component,4530243,4530530
101,0,PG0000083_1,PTS_system_galactitol-specific_EIIC_component,4528917,4530255
102,0,OG0004527,hypothetical_protein,4528111,4528917
103,0,PG0004231_0,Ascorbate-specific_PTS_system_EIIA_component,4527537,4528111
104,0,OG0004514,Ribulose-phosphate_3-epimerase,4526905,4527537
105,0,OG0004513,Glucitol_operon_repressor,4526106,4526888
106,0,OG0004594,Transcriptional_regulator_KdgR,4525015,4525803
107,0,PG0004171_1,putative_2-keto-3-deoxy-galactonate_aldolase_YagE,4524094,4525015
108,0,PG0004325_1,Dihydroxy-acid_dehydratase,4522020,4524105
109,0,OG0004593,Gnt-II_system_L-idonate_transporter,4520671,4522020
110,0,OG0004592,Deoxyribonucleoside_regulator,4519338,4520324
111,0,PG0000000_7,hypothetical_protein,4518235,4519338
112,0,PG0004213_0,putative_RNA_polymerase_sigma_factor_FecI,4517717,4519015
113,0,PG0004210_0,hypothetical_protein,4516677,4517714
114,0,PG0004205_0,Fe_3+__dicitrate_transport_protein_FecA,4514308,4516764
115,0,PG0004197_0,Fe_3+__dicitrate-binding_periplasmic_protein,4513409,4514353
116,0,PG0004196_0,Fe_3+__dicitrate_transport_system_permease_protein_FecC,4512414,4513406
117,0,PG0003616_0,Fe_3+__dicitrate_transport_system_permease_protein_FecD,4511457,4512411
118,0,PG0000109_1,Ferric_enterobactin_transport_ATP-binding_protein_FepC,4510133,4511458
119,0,PG0004235_0,hypothetical_protein,4509793,4510690
120,0,PG0000011_2,hypothetical_protein,4508942,4509876
121,0,PG0000014_3,hypothetical_protein,4508617,4509141
122,0,PG0000099_0,hypothetical_protein,4507463,4508574
123,0,PG0000014_2,hypothetical_protein,4506976,4507466
124,0,OG0004669,hypothetical_protein,4506626,4506976
125,0,OG0004702,hypothetical_protein,4506448,4506573
126,0,PG0004554_0,1_5-anhydro-D-fructose_reductase,4505275,4506448
127,0,OG0004611,Putative_metabolite_transport_protein_YjhB,4504058,4505275
128,0,PG0003730_0,hypothetical_protein,4500791,4504058
129,0,OG0004728,hypothetical_protein,4500432,4500791
130,0,PG0004220_0,Phosphoethanolamine_transferase_OpgE,4499919,4500432
131,0,OG0005933,Phosphoethanolamine_transferase_OpgE,4499677,4499919
132,0,PG0000026_6,hypothetical_protein,4498637,4499677
133,0,PG0000035_5,hypothetical_protein,4497940,4498595
134,0,PG0000006_3,Prophage_integrase_IntA,4496721,4498272
135,0,OG0004869,hypothetical_protein,4496527,4496721
136,0,PG0003212_0,Aldehyde_reductase_Ahr,4495186,4496527
137,0,OG0004269,Thermoresistant_gluconokinase,4494623,4495186
138,0,OG0004268,L-idonate_5-dehydrogenase__NAD_P__+__,4493375,4494406
139,0,PG0004177_0,Gluconate_5-dehydrogenase,4492525,4493375
140,0,OG0004267,Gnt-II_system_L-idonate_transporter,4491206,4492525
141,0,OG0004266,HTH-type_transcriptional_regulator_GntR,4490141,4491139
142,0,OG0002757,hypothetical_protein,4488561,4490063
143,0,OG0002756,Lipopolysaccharide_export_system_permease_protein_LptG,4487318,4488400
144,0,OG0002755,Lipopolysaccharide_export_system_permease_protein_LptF,4486239,4487318
145,0,OG0002754,Cytosol_aminopeptidase,4484440,4485951
146,0,OG0002753,DNA_polymerase_III_subunit_chi,4483837,4484280
147,0,PG0001369_0,Valine--tRNA_ligase,4480926,4483837
148,0,PG0000285_0,Inner_membrane_protein_YjgN,4479537,4480982
149,0,OG0002752,hypothetical_protein,4479034,4479537
150,0,OG0002751,Regulator_of_ribonuclease_activity_B,4478473,4478889
151,0,PG0000177_1,Ornithine_carbamoyltransferase_subunit_I,4477251,4478473
152,0,PG0003541_0,hypothetical_protein,4475314,4477307
153,0,OG0002750,Toxin-antitoxin_biofilm_protein_TabA,4474862,4475314
154,0,PG0003659_0,HTH-type_transcriptional_repressor_BdcR,4474053,4474862
155,0,OG0003664,Cyclic-di-GMP-binding_biofilm_dispersal_mediator_protein,4473340,4474053
156,0,OG0003653,RutC_family_protein_YjgH,4472814,4473209
157,0,OG0002749,Aspartate_carbamoyltransferase_catalytic_subunit,4471460,4472395
158,0,OG0002748,Aspartate_carbamoyltransferase_regulatory_chain,4470986,4471447
159,0,OG0002747,2-iminobutanoate/2-iminopropanoate_deaminase,4470527,4470913
160,0,PG0001368_0,Magnesium-transporting_ATPase__P-type_1,4467246,4470527
161,0,OG0002746,HTH-type_transcriptional_regulator_TreR,4466299,4467246
162,0,OG0002745,PTS_system_trehalose-specific_EIIBC_component,4464759,4466180
163,0,OG0002744,Trehalose-6-phosphate_hydrolase,4463054,4464709
164,0,OG0002743,Anaerobic_ribonucleoside-triphosphate_reductase,4460522,4462660
165,0,OG0002742,Anaerobic_ribonucleoside-triphosphate_reductase-activating_protein,4459900,4460364
166,0,OG0002741,Soluble_cytochrome_b562,4459553,4459855
167,0,OG0002740,Metalloprotease_PmbA,4457959,4459311
168,0,OG0002739,hypothetical_protein,4457314,4457865
169,0,OG0002738,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-_meso-2_6-diaminoheptandioate_ligase,4455785,4457158
170,0,OG0002737,Fructose-1_6-bisphosphatase_class_1,4454611,4455609
171,0,OG0002736,Inner_membrane_ABC_transporter_permease_protein_YjfF,4453583,4454578
172,0,OG0002735,Inner_membrane_ABC_transporter_permease_protein_YtfT,4452574,4453596
173,0,PG0000331_0,Ribose_import_ATP-binding_protein_RbsA,4450918,4452574
174,0,PG0001367_0,ABC_transporter_periplasmic-binding_protein_YtfQ,4449652,4451058
175,0,OG0002734,Inorganic_pyrophosphatase,4449122,4449652
176,0,PG0003969_0,Endoribonuclease_ChpB,4448698,4449122
177,0,OG0004022,Antitoxin_ChpS,4448447,4448698
178,0,OG0002733,Gamma-glutamylcyclotransferase_family_protein_YtfP,4447894,4448235
179,0,PG0001366_0,Translocation_and_assembly_module_TamB,4444115,4447894
180,0,PG0001365_0,Translocation_and_assembly_module_TamA,4442176,4444112
181,0,OG0002732,Peptide_methionine_sulfoxide_reductase_MsrA,4441538,4442176
182,0,OG0002731,Magnesium_and_cobalt_efflux_protein_CorC,4439872,4441215
183,0,OG0003096,hypothetical_protein,4439587,4439793
184,0,OG0002730,hypothetical_protein,4438708,4439262
185,0,OG0004328,hypothetical_protein,4437707,4438645
186,0,OG0002729,3'_2'__5'-bisphosphate_nucleotidase_CysQ,4436755,4437495
187,0,PG0000210_0,2'_3'-cyclic-nucleotide_2'-phosphodiesterase/3'-nucleotidase,4434493,4436755
188,0,OG0003324,HTH-type_transcriptional_activator_HxlR,4434113,4434493
189,0,OG0003285,Quinone_oxidoreductase_2,4433164,4434024
190,0,OG0003284,Inner_membrane_protein_YtfF,4432091,4433056
191,0,OG0003283,Iron-sulfur_cluster_repair_protein_YtfE,4431321,4431983
192,0,OG0003282,D-serine/D-alanine/glycine_transporter,4429864,4431276
193,0,OG0003281,FKBP-type_22_kDa_peptidyl-prolyl_cis-trans_isomerase,4428935,4429555
194,0,OG0003280,hypothetical_protein,4428079,4428717
195,0,OG0003950,hypothetical_protein,4427769,4428095
196,0,PG0004169_0,hypothetical_protein,4426557,4427769
197,0,PG0001364_0,50S_ribosomal_protein_L9,4426066,4426628
198,0,PG0001363_0,30S_ribosomal_protein_S18,4425834,4426108
199,0,PG0001362_0,Primosomal_replication_protein_N,4425513,4425839
200,0,PG0001361_0,30S_ribosomal_protein_S6,4424791,4425520
201,0,PG0001360_0,hypothetical_protein,4424386,4425118
202,0,PG0001359_0,L-ribulose-5-phosphate_4-epimerase_UlaF,4423700,4424516
203,0,PG0001358_0,L-ribulose-5-phosphate_3-epimerase_UlaE,4422836,4423700
204,0,PG0001357_0,3-keto-L-gulonate-6-phosphate_decarboxylase_UlaD,4422172,4422846
205,0,PG0001356_0,Ascorbate-specific_PTS_system_EIIA_component,4421698,4422186
206,0,PG0001355_0,Ascorbate-specific_PTS_system_EIIB_component,4421377,4421708
207,0,PG0000374_0,Ascorbate-specific_PTS_system_EIIC_component,4419625,4421393
208,0,PG0000373_0,putative_L-ascorbate-6-phosphate_lactonase_UlaG,4418453,4419980
209,0,PG0001354_0,HTH-type_transcriptional_regulator_UlaR,4417701,4418561
210,0,PG0001353_0,2-hydroxy-6-oxo-6-phenylhexa-2_4-dienoate_hydrolase,4416770,4417698
211,0,PG0001352_0,Lipoprotein_BsmA,4416292,4416952
212,0,PG0001351_0,hypothetical_protein,4415900,4416441
213,0,PG0001350_0,Putative_acyl-CoA_dehydrogenase_AidB,4414191,4416017
214,0,PG0001349_0,Putative_acid--amine_ligase_YjfC,4413025,4414275
215,0,PG0000817_0,hypothetical_protein,4412377,4413028
216,0,PG0002728_0,hypothetical_protein,4411961,4412387
217,0,PG0000816_0,hypothetical_protein,4411251,4411979
218,0,PG0002727_0,hypothetical_protein,4410534,4411302
219,0,PG0000237_0,hypothetical_protein,4410006,4410553
220,0,PG0001348_0,23S_rRNA__guanosine-2'-O-_-methyltransferase_RlmB,4409095,4410133
221,0,PG0001347_0,Ribonuclease_R,4406615,4409275
222,0,PG0001346_0,HTH-type_transcriptional_repressor_NsrR,4405985,4406654
223,0,PG0001345_0,Adenylosuccinate_synthetase,4404583,4406190
224,0,PG0001344_0,hypothetical_protein,4404304,4404687
225,0,PG0001343_0,Modulator_of_FtsH_protease_HflC,4403297,4404386
226,0,PG0001342_0,Modulator_of_FtsH_protease_HflK,4401952,4403300
227,0,PG0001341_0,GTPase_HflX,4400596,4402038
228,0,PG0001340_0,RNA-binding_protein_Hfq,4400202,4400672
229,0,PG0001339_0,tRNA_dimethylallyltransferase,4399259,4400288
230,0,PG0001338_0,DNA_mismatch_repair_protein_MutL,4397402,4399252
231,0,PG0000481_0,N-acetylmuramoyl-L-alanine_amidase_AmiB,4396046,4397412
232,0,PG0001337_0,tRNA_threonylcarbamoyladenosine_biosynthesis_protein_TsaE,4395613,4396065
233,0,PG0001336_0,Bifunctional_NAD_P_H-hydrate_repair_enzyme_Nnr,4394067,4395585
234,0,PG0001335_0,Epoxyqueuosine_reductase,4392149,4394081
235,0,PG0001334_0,Oligoribonuclease,4391509,4392928
236,0,PG0001333_0,Small_ribosomal_subunit_biogenesis_GTPase_RsgA,4390360,4391604
237,0,PG0001332_0,Phosphatidylserine_decarboxylase_proenzyme,4389370,4390457
238,0,PG0001331_0,Miniconductance_mechanosensitive_channel_MscM,4386018,4389392
239,0,OG0004175,Inner_membrane_protein_YjeO,4385716,4386018
240,0,OG0004305,hypothetical_protein,4385393,4385707
241,0,PG0000480_0,Inner_membrane_transporter_YjeM,4383620,4385393
242,0,PG0001330_0,Elongation_factor_P--_R_-beta-lysine_ligase,4382318,4383884
243,0,PG0000815_0,Fumarate_reductase_flavoprotein_subunit,4380517,4382643
244,0,PG0001329_0,Fumarate_reductase_iron-sulfur_subunit,4379772,4380510
245,0,PG0000814_0,Fumarate_reductase_subunit_C,4379366,4379783
246,0,PG0002726_0,Fumarate_reductase_subunit_D,4378944,4379377
247,0,PG0000813_0,Beta-lactamase,4377722,4379007
248,0,PG0001328_0,Outer_membrane_lipoprotein_Blc,4377192,4377811
249,0,PG0001327_0,Quaternary_ammonium_compound-resistance_protein_SugE,4376699,4377189
250,0,PG0001326_0,hypothetical_protein,4376442,4376875
251,0,PG0003424_0,hypothetical_protein,4376265,4376553
252,0,PG0001325_0,Elongation_factor_P,4375657,4376317
253,0,PG0001324_0,L-lysine_2_3-aminomutase,4374234,4375699
254,0,PG0001323_0,hypothetical_protein,4373162,4374629
255,0,OG0002725,hypothetical_protein,4372809,4373162
256,0,OG0002724,60_kDa_chaperonin,4371025,4372671
257,0,OG0002723,10_kDa_chaperonin,4370688,4370981
258,0,OG0002722,L-methionine/branched-chain_amino_acid_exporter_YjeH,4369156,4370412
259,0,OG0002721,hypothetical_protein,4368664,4369140
260,0,OG0002720,Aspartate_ammonia-lyase,4366891,4368327
261,0,OG0002719,Anaerobic_C4-dicarboxylate_transporter_DcuA,4365472,4366773
262,0,OG0002718,Divalent-cation_tolerance_protein_CutA,4365018,4365356
263,0,OG0002717,Thiol_disulfide_interchange_protein_DsbD,4363345,4365042
264,0,OG0002716,hypothetical_protein,4362733,4363308
265,0,PG0002715_0,Transcriptional_activator_CadC,4360031,4362733
266,0,OG0003423,putative_cadaverine/lysine_antiporter,4358697,4360031
267,0,OG0003422,Inducible_lysine_decarboxylase,4356470,4358617
268,0,OG0003401,Dipeptide_and_tripeptide_permease_C,4354954,4356411
269,0,OG0003352,Lysine--tRNA_ligase__heat_inducible,4353200,4354717
270,0,OG0003540,Toxin_GhoT,4352908,4353081
271,0,OG0003323,Endoribonuclease_GhoS,4352584,4352880
272,0,PG0000192_0,hypothetical_protein,4352073,4352584
273,0,OG0003400,hypothetical_protein,4351843,4352073
274,0,OG0002714,Sensor_histidine_kinase_DcuS,4350031,4351662
275,0,OG0002713,Transcriptional_regulatory_protein_DcuR,4349315,4350034
276,0,OG0002712,Anaerobic_C4-dicarboxylate_transporter_DcuB,4347404,4348744
277,0,OG0003095,Fumarate_hydratase_class_I__anaerobic,4345680,4347326
278,0,OG0002711,Inner_membrane_protein_YjdF,4344929,4345558
279,0,PG0003776_0,Melibiose_carrier_protein,4343266,4344929
280,0,OG0003094,Alpha-galactosidase,4341911,4343266
281,0,PG0002710_0,Melibiose_operon_regulatory_protein,4340524,4341911
282,0,OG0002709,Biodegradative_arginine_decarboxylase,4338254,4340524
283,0,OG0002708,HTH-type_transcriptional_regulator_GadX,4337168,4337929
284,0,PG0001322_0,Arginine/agmatine_antiporter,4335590,4337168
285,0,OG0002707,Phosphoethanolamine_transferase_EptA,4333947,4335590
286,0,OG0002706,Transcriptional_regulatory_protein_BasR,4333282,4333950
287,0,OG0002705,Sensor_protein_BasS,4332181,4333281
288,0,OG0002704,hypothetical_protein,4332116,4332205
289,0,OG0002703,Proline/betaine_transporter,4330502,4332004
290,0,PG0001321_0,hypothetical_protein,4329363,4330502
291,0,PG0000228_0,Clamp-binding_protein_CrfC,4326734,4329360
292,0,OG0002702,hypothetical_protein,4326399,4326734
293,0,OG0002701,hypothetical_protein,4325298,4325741
294,0,OG0003093,Phosphate-import_ATP-binding_protein_PhnC,4324377,4325165
295,0,OG0003211,Phosphate-import_protein_PhnD,4323336,4324352
296,0,PG0003092_0,Phosphate-import_permease_protein_PhnE,4322422,4323336
297,0,OG0003210,putative_transcriptional_regulator_PhnF,4321697,4322422
298,0,OG0003209,Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnG,4321244,4321696
299,0,OG0003208,Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnH,4320663,4321247
300,0,PG0003207_0,Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnI,4319606,4320663
301,0,OG0003206,Alpha-D-ribose_1-methylphosphonate_5-phosphate_C-P_lyase,4318761,4319606
302,0,OG0003205,Putative_phosphonates_utilization_ATP-binding_protein_PhnK,4318006,4318764
303,0,OG0003204,Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnL,4317215,4317895
304,0,PG0003091_0,Alpha-D-ribose_1-methylphosphonate_5-triphosphate_diphosphatase,4316082,4317215
305,0,PG0003090_0,Ribose_1_5-bisphosphate_phosphokinase_PhnN,4315538,4316082
306,0,OG0003089,Aminoalkylphosphonate_N-acetyltransferase,4315104,4315538
307,0,OG0003203,Phosphoribosyl_1_2-cyclic_phosphate_phosphodiesterase,4314344,4315102
308,0,OG0003088,hypothetical_protein,4313868,4314197
309,0,PG0003643_0,Ribose-5-phosphate_isomerase_B,4312991,4313868
310,0,PG0003970_0,HTH-type_transcriptional_regulator_RpiR,4312042,4313350
311,0,OG0004066,D-allose-binding_periplasmic_protein,4311107,4312042
312,0,PG0004054_0,Ribose_import_ATP-binding_protein_RbsA,4309469,4311107
313,0,OG0004065,D-allose_transport_system_permease_protein_AlsC,4308489,4309469
314,0,OG0004064,D-allulose-6-phosphate_3-epimerase,4307783,4308478
315,0,OG0004063,D-allose_kinase,4306870,4307799
316,0,PG0000214_0,Putative_alkyl/aryl-sulfatase_YjcS,4304403,4306870
317,0,OG0003202,hypothetical_protein,4304128,4304403
318,0,OG0003087,Multidrug_resistance_protein_MdtN,4303078,4304109
319,0,PG0002700_0,Multidrug_resistance_protein_MdtO,4301030,4303078
320,0,PG0001320_0,Cation_efflux_system_protein_CusC,4299366,4301027
321,0,OG0002699,Formate_dehydrogenase_H,4298947,4299366
322,0,OG0002698,Formate_dehydrogenase_H,4297219,4298898
323,0,OG0002697,hypothetical_protein,4296436,4297125
324,0,OG0002696,Proton/glutamate-aspartate_symporter,4294481,4295794
325,0,OG0002695,Formate-dependent_nitrite_reductase_complex_subunit_NrfG,4293543,4294139
326,0,OG0002694,Cytochrome_c-type_biogenesis_protein_CcmH,4293163,4293546
327,0,OG0002693,Cytochrome_c-type_biogenesis_protein_CcmF,4291548,4293170
328,0,OG0002692,hypothetical_protein,4290476,4291432
329,0,OG0002691,putative_ferredoxin-like_protein_YdhX,4289808,4290479
330,0,OG0002690,Cytochrome_c-type_protein_NrfB,4289245,4289811
331,0,OG0002689,Cytochrome_c-552,4287764,4289200
332,0,OG0002688,Acetyl-coenzyme_A_synthetase,4285413,4287371
333,0,OG0002687,Inner_membrane_protein_YjcH,4284899,4285213
334,0,OG0002686,Cation/acetate_symporter_ActP,4283253,4284902
335,0,PG0003615_0,Secreted_effector_protein_PipB2,4281629,4283253
336,0,OG0002685,Sodium__potassium__lithium_and_rubidium/H_+__antiporter,4279980,4281629
337,0,OG0003086,Guanine/hypoxanthine_permease_GhxP,4278479,4279828
338,0,OG0002684,Redox-sensitive_transcriptional_activator_SoxR,4277469,4277933
339,0,PG0001319_0,Regulatory_protein_SoxS,4277057,4277469
340,0,PG0000812_0,Putative_cyclic-di-GMP_phosphodiesterase_YjcC,4275041,4277060
341,0,OG0002683,hypothetical_protein,4274760,4275041
342,0,OG0002682,Single-stranded_DNA-binding_protein,4274125,4274661
343,0,PG0001318_0,UvrABC_system_protein_A,4271014,4274125
344,0,OG0002681,hypothetical_protein,4270658,4271014
345,0,PG0000372_0,hypothetical_protein,4270127,4270658
346,0,OG0002680,Class_B_acid_phosphatase,4269414,4270127
347,0,PG0003791_0,hypothetical_protein,4268307,4269414
348,0,OG0002679,Aromatic-amino-acid_aminotransferase,4267114,4268307
349,0,OG0002678,Alanine_racemase__biosynthetic,4265782,4266861
350,0,PG0000479_0,Replicative_DNA_helicase,4264231,4265782
351,0,PG0000811_0,Quinone_oxidoreductase_1,4263082,4264314
352,0,OG0002677,Phage_shock_protein_G,4262840,4263082
353,0,OG0002676,tRNA-dihydrouridine_20/20a__synthase,4261669,4262706
354,0,PG0003790_0,hypothetical_protein,4260575,4261669
355,0,OG0004209,hypothetical_protein,4260321,4260575
356,0,OG0002675,Zinc_uptake_regulation_protein,4259488,4260003
357,0,OG0002674,hypothetical_protein,4259237,4259446
358,0,OG0002673,DNA_damage-inducible_protein_F,4257796,4259121
359,0,OG0002672,LexA_repressor,4257115,4257723
360,0,OG0002671,Diacylglycerol_kinase,4256637,4257005
361,0,PG0000478_0,Glycerol-3-phosphate_acyltransferase,4253888,4256637
362,0,OG0002670,4-hydroxybenzoate_octaprenyltransferase,4253016,4253888
363,0,OG0002669,Chorismate_pyruvate-lyase,4252506,4253003
364,0,PG0003753_0,E3_ubiquitin-protein_ligase_SopA,4250897,4252506
365,0,OG0004114,hypothetical_protein,4250703,4250897
366,0,OG0004132,hypothetical_protein,4250449,4250601
367,0,OG0002668,hypothetical_protein,4249554,4250474
368,0,OG0002667,Maltoporin,4247971,4249311
369,0,OG0002666,Maltose/maltodextrin_import_ATP-binding_protein_MalK,4246784,4247899
370,0,OG0004174,hypothetical_protein,4246512,4246607
371,0,OG0002665,Maltose-binding_periplasmic_protein,4245229,4246419
372,0,OG0002664,Maltose_transport_system_permease_protein_MalF,4243531,4245075
373,0,OG0002663,Maltose_transport_system_permease_protein_MalG,4242626,4243516
374,0,PG0003854_0,D-xylose-proton_symporter,4240735,4242626
375,0,OG0003085,Protein_PsiE,4240325,4240735
376,0,OG0003084,hypothetical_protein,4237634,4239730
377,0,OG0003083,hypothetical_protein,4236897,4237634
378,0,OG0003082,putative_lipoprotein_GfcB,4236262,4236900
379,0,OG0003383,hypothetical_protein,4235906,4236148
380,0,OG0002662,Glucose-6-phosphate_isomerase,4233758,4235407
381,0,PG0000810_0,Lysine-sensitive_aspartokinase_3,4231631,4233758
382,0,OG0002661,hypothetical_protein,4231359,4231631
383,0,PG0000809_0,23S_rRNA_pseudouridine_2604__synthase,4230142,4231359
384,0,OG0002660,Peptidase_E,4229453,4230142
