Accession  Genome                                                             Gene_ID_1           Gene_ID_2           Gene_tag_1         Gene_tag_2         Protein_ID_1    Protein_ID_2
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_023930  ALMA001c01a_024050  MADE_1011845       MADE_1010070       YP_004427503.1  YP_004427150.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_002820  ALMA001c01a_004100  MADE_1001390       MADE_1002025       YP_004425425.1  YP_004425552.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_004100  ALMA001c01a_004140  MADE_1002025       MADE_1002045       YP_004425552.1  YP_004425556.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_027060  ALMA001c01a_027670  MADE_1013075       MADE_1007475       YP_004427747.1  YP_004426633.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_028580  ALMA001c01a_028590  MADE_1014245       MADE_1014250       YP_004427981.1  YP_004427982.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_028590  ALMA001c01a_030080  MADE_1014250       MADE_1014970       YP_004427982.1  YP_004428126.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_030210  ALMA001c01a_030340  MADE_1015040       MADE_1015105       YP_004428140.1  YP_004428153.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_030550  ALMA001c01a_030590  MADE_1015205       MADE_1015245       YP_004428173.1  YP_004428179.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_032280  ALMA001c01a_032370  MADE_1016110       MADE_1016150       YP_004428350.1  YP_004428358.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_032370  ALMA001c01a_032590  MADE_1016150       MADE_1016280       YP_004428358.1  YP_004428382.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_032690  ALMA001c01a_032730  MADE_1016330       MADE_1016360       YP_004428392.1  YP_004428396.2
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_032850  ALMA001c01a_033160  MADE_1016420       MADE_1016590       YP_004428408.1  YP_004428440.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_033580  ALMA001c01a_033880  MADE_1016775       MADE_1016925       YP_004428477.2  YP_004428507.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_034870  ALMA001c01a_034990  tas                MADE_1018545       YP_008550040.1  YP_004428831.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_035190  ALMA001c01a_035430  MADE_1013815       rplQ               YP_004427895.1  YP_004427918.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_037980  ALMA001c01a_038420  MADE_1019230       MADE_1019460       YP_004428966.1  YP_004429012.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_038680  ALMA001c01a_038750  MADE_1019595       groES              YP_004429039.1  YP_004429046.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_005940  ALMA001c01a_006790  MADE_1003030       MADE_1003450       YP_004425752.1  YP_004425836.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_008690  ALMA001c01a_008710  MADE_1004300       MADE_1004310       YP_004426006.2  YP_004426008.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_009200  ALMA001c01a_009260  MADE_1004570       MADE_1004600       YP_004426058.1  YP_004426064.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_009890  ALMA001c01a_009900  MADE_1004915       MADE_1004920       YP_004426127.1  YP_004426128.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_010220  ALMA001c01a_010730  MADE_1005445       MADE_1005670       YP_004426233.1  YP_004426274.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_010890  ALMA001c01a_011130  MADE_1005750       MADE_1005880       YP_004426290.1  YP_004426316.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_001070  ALMA001c01a_001350  MADE_1000525       MADE_1000665       YP_004425252.1  YP_004425280.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_012090  ALMA001c01a_012110  MADE_1006370       prfC               YP_004426414.2  YP_004426416.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_012970  ALMA001c01a_013020  fadI               MADE_000001020955  YP_004426500.1  YP_008549663.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_013530  ALMA001c01a_013550  MADE_000001021230  MADE_000001021240  YP_008549713.1  YP_008549714.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_014600  ALMA001c01a_014640  MADE_1007025       MADE_1007045       YP_004426545.1  YP_004426549.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_015570  ALMA001c01a_015710  MADE_1007835       MADE_1007900       YP_004426705.1  YP_004426718.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_016240  ALMA001c01a_016490  MADE_1008155       MADE_1008275       YP_004426769.2  YP_004426793.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_001650  ALMA001c01a_001810  MADE_1000815       MADE_1000895       YP_004425310.1  YP_004425326.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_017990  ALMA001c01a_018200  MADE_1009045       MADE_1009160       YP_004426945.2  YP_004426968.2
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_018850  ALMA001c01a_018870  MADE_000001021905  MADE_000001021915  YP_008549822.1  YP_008549823.1
NC_011138  Alteromonas_macleodii_str_'Deep_ecotype'                           ALMA001c01a_019010  ALMA001c01a_019240  MADE_1009200       MADE_1009315       YP_004426976.1  YP_004426999.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_014640  BAAM001c01a_014670  ylaL               ftsW               YP_001421062.1  YP_001421065.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_017210  BAAM001c01a_017320  glnR               xylB               YP_001421319.1  YP_001421330.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_017330  BAAM001c01a_017400  pps                RBAM_017440        YP_001421331.1  YP_001421338.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_017400  BAAM001c01a_017490  RBAM_017440        RBAM_017530        YP_001421338.1  YP_001421347.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_017500  BAAM001c01a_017550  RBAM_017540        yobO               YP_001421348.1  YP_001421353.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_018000  BAAM001c01a_018070  yndJ               RBAM_018110        YP_001421398.1  YP_001421405.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_018460  BAAM001c01a_018480  yoeB               RBAM_018520        YP_001421444.1  YP_001421445.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_018520  BAAM001c01a_018570  RBAM_018560        gltD               YP_001421449.1  YP_001421454.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_019600  BAAM001c01a_019810  phy                msrB               YP_001421557.1  YP_001421578.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_020180  BAAM001c01a_020220  RBAM_020220        xpt                YP_001421615.1  YP_001421619.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_002290  BAAM001c01a_002400  glmS               kdgR1              YP_001419862.1  YP_001419873.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_021880  BAAM001c01a_022080  proI               yqjL               YP_001421785.1  YP_001421805.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_023990  BAAM001c01a_024090  spoIIIC            yrdA               YP_001421995.1  YP_001422005.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_024370  BAAM001c01a_024390  greA               yrrO               YP_001422033.1  YP_001422035.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_025320  BAAM001c01a_025340  ilvB               RBAM_025390        YP_001422128.1  YP_001422130.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_026530  BAAM001c01a_026660  ytrP               hmp                YP_001422247.1  YP_001422260.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_028060  BAAM001c01a_028070  yuaG               yuaF               YP_001422374.1  YP_001422375.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_028180  BAAM001c01a_028200  yjcN               yubB               YP_001422386.1  YP_001422387.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_028710  BAAM001c01a_028750  comA               degQ               YP_001422438.1  YP_001422442.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_029210  BAAM001c01a_029230  dltE               dapF               YP_001422488.1  YP_001422490.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_029460  BAAM001c01a_029520  pucR               RBAM_029570        YP_001422513.1  YP_001422519.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_029690  BAAM001c01a_029700  csn                yurU               YP_001422536.1  YP_001422537.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_030390  BAAM001c01a_030400  fhuD               yvsH               YP_001422606.1  YP_001422607.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_032300  BAAM001c01a_032310  yvkA               yvjD               YP_001422796.1  YP_001422797.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_032990  BAAM001c01a_033010  ywsC               gerKB1             YP_001422865.1  YP_001422867.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_033170  BAAM001c01a_033190  cotH               ywrF               YP_001422883.1  YP_001422885.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_033250  BAAM001c01a_033350  ywrA               ywqJ               YP_001422891.1  YP_001422901.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_035610  BAAM001c01a_035620  gspA               ywaC               YP_001423127.1  YP_001423128.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_036170  BAAM001c01a_036260  RBAM_036230        pelB               YP_001423183.1  YP_001423192.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_036280  BAAM001c01a_036330  yxiE               yxiA               YP_001423194.1  YP_001423199.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_037000  BAAM001c01a_037090  RBAM_037060        yydA               YP_001423266.1  YP_001423275.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_037730  BAAM001c01a_037850  yybA               yyaK               YP_001423335.1  YP_001423347.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_004530  BAAM001c01a_004620  ydaP               RBAM_004650        YP_001420086.1  YP_001420095.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_005080  BAAM001c01a_005370  ydcK               cspC               YP_001420141.1  YP_001420163.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_005570  BAAM001c01a_005700  czcD               RBAM_005730        YP_001420183.1  YP_001420196.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_006450  BAAM001c01a_006500  groEL              gutR               YP_001420264.1  YP_001420269.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_007100  BAAM001c01a_007200  yefA               yeeI               YP_001420329.1  YP_001420339.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_007360  BAAM001c01a_007480  yetO               yfnI               YP_001420355.1  YP_001420367.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_007690  BAAM001c01a_007750  yflS               citT               YP_001420388.1  YP_001420394.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_008210  BAAM001c01a_008240  yfjO               yfjN               YP_001420440.1  YP_001420443.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_008670  BAAM001c01a_008680  yfhP               yfhQ               YP_001420486.1  YP_001420487.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_008800  BAAM001c01a_009010  ygxA               ygaJ               YP_001420499.1  YP_001420501.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_011900  BAAM001c01a_012040  yjcJ               penP               YP_001420789.1  YP_001420802.1
NC_009725  Bacillus_amyloliquefaciens_FZB42                                   BAAM001c01a_012360  BAAM001c01a_012390  exuR               yjnA               YP_001420834.1  YP_001420837.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_025210  BACE001c01a_025310  pepD               BCAH187_A2597      YP_002338539.1  YP_002338549.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_025640  BACE001c01a_026780  BCAH187_A2630      BCAH187_A2746      YP_002338582.1  YP_002338696.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_026780  BACE001c01a_027080  BCAH187_A2746      BCAH187_A2777      YP_002338696.1  YP_002338727.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_027090  BACE001c01a_027210  BCAH187_A2778      secY               YP_002338728.1  YP_002338740.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_027580  BACE001c01a_027680  BCAH187_A2827      BCAH187_A2837      YP_002338777.1  YP_002338787.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_028350  BACE001c01a_028420  BCAH187_A2904      BCAH187_A2911      YP_002338854.1  YP_002338861.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_029370  BACE001c01a_029540  BCAH187_A3006      BCAH187_A3023      YP_002338956.1  YP_002338973.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_029540  BACE001c01a_030180  BCAH187_A3023      BCAH187_A3087      YP_002338973.1  YP_002339037.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_030320  BACE001c01a_030440  lysP               BCAH187_A3114      YP_002339051.1  YP_002339063.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_030620  BACE001c01a_031710  BCAH187_A3132      BCAH187_A3241      YP_002339081.1  YP_002339190.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_031730  BACE001c01a_032220  BCAH187_A3244      BCAH187_A3293      YP_002339192.1  YP_002339241.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_032230  BACE001c01a_032390  serC               BCAH187_A3310      YP_002339242.1  YP_002339258.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_032440  BACE001c01a_032910  BCAH187_A3315      BCAH187_A3364      YP_002339263.1  YP_002339310.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_032980  BACE001c01a_033200  BCAH187_A3371      BCAH187_A3394      YP_002339317.1  YP_002339339.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_033230  BACE001c01a_034030  BCAH187_A3397      BCAH187_A3478      YP_002339342.1  YP_002339422.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_034030  BACE001c01a_034210  BCAH187_A3478      BCAH187_A3496      YP_002339422.1  YP_002339440.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_034420  BACE001c01a_034610  pepF2              BCAH187_A3536      YP_002339461.1  YP_002339480.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_034610  BACE001c01a_034680  BCAH187_A3536      BCAH187_A3543      YP_002339480.1  YP_002339487.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_036150  BACE001c01a_036250  BCAH187_A3691      BCAH187_A3702      YP_002339634.1  YP_002339644.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_036760  BACE001c01a_036780  BCAH187_A3753      glnR               YP_002339695.1  YP_002339697.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_037140  BACE001c01a_037380  pepT               mutL               YP_002339733.1  YP_002339757.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_037700  BACE001c01a_037720  asd2               spoVFA             YP_002339789.1  YP_002339791.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_001930  BACE001c01a_002150  glmS               BCAH187_A0226      YP_002336276.1  YP_002336298.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_043800  BACE001c01a_043850  psd                BCAH187_A4476      YP_002340398.1  YP_002340403.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_044940  BACE001c01a_044950  mreB               radC               YP_002340512.1  YP_002340513.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_045180  BACE001c01a_045270  BCAH187_A4610      BCAH187_A4619      YP_002340536.1  YP_002340544.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_045310  BACE001c01a_045440  racE2              BCAH187_A4636      YP_002340548.1  YP_002340561.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_003060  BACE001c01a_003390  BCAH187_A0322      purE               YP_002336373.1  YP_002336391.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_048160  BACE001c01a_048260  BCAH187_A4911      BCAH187_A4921      YP_002340833.1  YP_002340843.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_048630  BACE001c01a_048760  BCAH187_A4959      BCAH187_A4972      YP_002340880.1  YP_002340893.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_051320  BACE001c01a_051750  BCAH187_A5232      smpB               YP_002341126.1  YP_002341169.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_051890  BACE001c01a_052030  sigL               BCAH187_A5305      YP_002341183.1  YP_002341196.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_053320  BACE001c01a_053500  BCAH187_A5436      fabZ               YP_002341325.1  YP_002341343.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_003820  BACE001c01a_003830  BCAH187_A0407      BCAH187_A0408      YP_002336435.1  YP_002336436.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_055360  BACE001c01a_055370  BCAH187_A5642      BCAH187_A5643      YP_002341529.1  YP_002341530.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_005650  BACE001c01a_005840  BCAH187_A0594      BCAH187_A0615      YP_002336619.1  YP_002336620.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_005950  BACE001c01a_006510  yhbH               opuD1              YP_002336630.1  YP_002336686.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_008880  BACE001c01a_008890  BCAH187_A0928      spoVR              YP_002336902.1  YP_002336903.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_008890  BACE001c01a_009050  spoVR              BCAH187_A0946      YP_002336903.1  YP_002336920.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_009520  BACE001c01a_009860  BCAH187_A0994      BCAH187_A1029      YP_002336967.1  YP_002337001.1
NC_011658  Bacillus_cereus_AH187                                              BACE001c01a_009990  BACE001c01a_010040  BCAH187_A1043      BCAH187_A1048      YP_002337014.1  YP_002337019.1
