organism=Escherichia_coli_300_genomes	genome=GCF_000284495.1_ASM28449v1	contig=NC_011993.1
233281	OG0003375	0.2	-
234137	OG0001501	0.6500000000000002	-
235223	OG0001502	0.6000000000000002	-
236098	OG0001503	0.6000000000000002	-
237142	OG0001504	0.6000000000000002	-
238339	OG0001505	0.6000000000000002	-
239112	OG0001506	0.5750000000000002	-
239703	OG0001507	0.5750000000000002	-
240363	OG0001508	1.9249999999999972	+
241664	OG0003840	4.199999999999992	+
246025	OG0004093	6.4750000000000245	+
248528	OG0004192	5.850000000000016	+
249625	OG0004225	6.575000000000026	+
253148	OG0004195	6.975000000000032	+
255146	OG0004248	6.300000000000022	+
256045	OG0004249	7.800000000000043	+
259774	OG0004239	8.900000000000059	+
263371	OG0005977	8.32500000000005	+
266317	OG0012451	8.25000000000005	+
267112	OG0010249	8.500000000000053	+
272614	OG0005979	8.750000000000057	+
273454	OG0005980	10.100000000000076	+
273946	OG0000272	10.150000000000077	+
275101	OG0005981	7.57500000000004	+
276159	OG0005522	7.300000000000036	+
276591	OG0002796	7.2500000000000355	+
277380	OG0002797	0.6750000000000003	-
278868	OG0001509	0.4500000000000001	-
280619	OG0002798	0.4500000000000001	-
281496	OG0002799	0.47500000000000014	-
282221	OG0002800	0.8750000000000004	+
283277	OG0003102	1.6249999999999982	+
284076	OG0003992	1.674999999999998	+
284586	OG0008770	1.4749999999999988	+
285612	OG0000842	1.8499999999999976	+
286894	OG0003227	1.399999999999999	+
287810	OG0003228	0.4250000000000001	-
288536	OG0004135	0.5000000000000001	-
288885	OG0004115	0.4000000000000001	-
289359	OG0003288	0.4250000000000001	-
290426	OG0000310	0.35000000000000003	-
291306	OG0003385	0.225	-
292398	OG0002801	0.3	-
293617	OG0003289	0.175	-
294560	OG0003290	0.15	-
295440	OG0002802	0.175	-
296207	OG0003103	0.225	-
297575	OG0003291	0.225	-
298765	OG0003292	0.6750000000000003	-
303225	OG0003971	1.1749999999999998	+
305990	OG0000003	1.3499999999999992	+
307707	OG0000176	1.3249999999999993	+
309254	OG0003572	1.2249999999999996	+
310399	OG0003573	0.8750000000000004	+
312473	OG0003434	0.5750000000000002	-
314096	OG0003574	0.6250000000000002	-
314780	OG0003565	0.6500000000000002	-
315420	OG0003555	0.7750000000000004	-
316845	OG0003543	0.8250000000000004	+
317048	OG0000183	0.6500000000000002	-
317593	OG0003695	0.9000000000000005	+
318688	OG0004358	1.7999999999999976	+
323052	OG0004589	1.699999999999998	+
323999	OG0004334	1.3749999999999991	+
327116	OG0000155	1.2249999999999996	+
329794	OG0003425	1.0000000000000004	+
330905	OG0004181	0.7500000000000003	-
331796	OG0003466	0.7250000000000003	-
333112	OG0003435	0.5250000000000001	-
334429	OG0003525	0.37500000000000006	-
335742	OG0003403	0.37500000000000006	-
336826	OG0003329	0.37500000000000006	-
337880	OG0003504	0.35000000000000003	-
338803	OG0003493	0.4250000000000001	-
340550	OG0004366	0.4000000000000001	-
342203	OG0004371	0.175	-
342671	OG0004367	0.24999999999999997	-
343135	OG0004378	0.37500000000000006	-
345328	OG0004424	0.4000000000000001	-
346346	OG0003404	0.4250000000000001	-
347931	OG0003405	0.225	-
348974	OG0003436	0.175	-
350413	OG0003406	0.225	-
352852	OG0000248	0.3	-
353904	OG0003330	0.4000000000000001	-
354710	OG0003426	0.4250000000000001	-
355519	OG0003437	0.6250000000000002	-
356293	OG0003526	0.7000000000000003	-
357488	OG0003505	1.0000000000000004	+
359898	OG0004302	0.9750000000000004	+
360588	OG0003549	1.499999999999999	+
361764	OG0003544	1.8499999999999976	+
363356	OG0003545	1.8999999999999972	+
365080	OG0003438	0.9250000000000004	+
365719	OG0003494	0.47500000000000014	-
366751	OG0003439	0.3	-
368228	OG0003440	0.35000000000000003	-
369417	OG0003467	0.325	-
370761	OG0003468	0.325	-
372470	OG0003441	0.37500000000000006	-
374461	OG0003427	0.5500000000000002	-
375722	OG0003442	1.15	+
376795	OG0003607	1.4749999999999988	+
377788	OG0003229	1.674999999999998	+
380004	OG0001510	2.299999999999996	+
382209	OG0000295	3.1749999999999927	+
383217	OG0002803	2.024999999999997	+
384130	OG0000486	0.9000000000000005	+
385194	OG0001511	0.225	-
385921	OG0001512	0.47500000000000014	-
386632	OG0003560	0.8250000000000004	+
387283	OG0004291	0.9500000000000004	+
388178	OG0003611	0.8500000000000004	+
389121	OG0003599	0.7500000000000003	-
390546	OG0003230	0.7000000000000003	-
391423	OG0003231	0.27499999999999997	-
392217	OG0003232	0.125	-
393053	OG0003233	0.15	-
394006	OG0001513	0.37500000000000006	-
396493	OG0000129	0.35000000000000003	-
398364	OG0001514	0.3	-
399255	OG0003293	0.35000000000000003	-
400796	OG0002804	0.27499999999999997	-
401966	OG0003294	0.24999999999999997	-
402726	OG0003295	0.175	-
403246	OG0003296	0.15	-
403923	OG0002805	0.15	-
405063	OG0002806	0.175	-
406001	OG0000843	0.175	-
406988	OG0001515	0.15	-
407807	OG0001516	0.15	-
408786	OG0002807	0.15	-
409540	OG0001517	0.1	-
410214	OG0001518	0	-
410621	OG0001519	0	-
411313	OG0001520	0.05	-
411866	OG0001521	0.27499999999999997	-
412201	OG0004172	0.27499999999999997	-
413140	OG0001522	0.24999999999999997	-
414142	OG0001523	0.125	-
415499	OG0000844	0.1	-
417746	OG0000845	0.05	-
419916	OG0001524	0.025	-
421051	OG0001525	0	-
422101	OG0001526	0.025	-
423815	OG0001527	0.07500000000000001	-
425237	OG0001528	0.125	-
426988	OG0000846	0.24999999999999997	-
428192	OG0001529	0.4250000000000001	-
429111	OG0001530	0.27499999999999997	-
430264	OG0000847	0.05	-
431017	OG0000376	0.07500000000000001	-
432151	OG0000377	0.07500000000000001	-
433554	OG0001531	0.07500000000000001	-
434343	OG0001532	0.025	-
434997	OG0001533	0.07500000000000001	-
436007	OG0000848	0.125	-
436652	OG0001534	0.1	-
437432	OG0001535	0.025	-
438308	OG0001536	0	-
438772	OG0001537	0	-
439548	OG0001538	0.07500000000000001	-
440274	OG0001539	0.175	-
441074	OG0001540	0.125	-
442547	OG0001541	0.05	-
443952	OG0001542	0.025	-
444523	OG0001543	0	-
445574	OG0001544	0.025	-
446647	OG0001545	0.05	-
447360	OG0000849	0.05	-
448229	OG0001546	0.27499999999999997	-
449285	OG0001547	0.6750000000000003	-
450561	OG0001548	0.6500000000000002	-
451182	OG0002808	0.2	-
451654	OG0001549	0.1	-
452946	OG0001550	0.025	-
454437	OG0000850	0.025	-
456108	OG0001551	0.025	-
457179	OG0001552	0	-
457933	OG0001553	0	-
459083	OG0001554	0	-
460289	OG0001555	0.025	-
461364	OG0001556	0.05	-
463366	OG0001557	0.025	-
464888	OG0001558	0	-
466151	OG0001559	0.025	-
467423	OG0001560	0.05	-
467914	OG0001561	0.025	-
468512	OG0001562	0.025	-
469775	OG0000851	0.07500000000000001	-
471134	OG0001563	0.125	-
471925	OG0000852	0.07500000000000001	-
473070	OG0001564	0.07500000000000001	-
474839	OG0000853	0.025	-
476080	OG0001565	0.05	-
476922	OG0001566	0.025	-
478044	OG0001567	0.025	-
478978	OG0001568	0.05	-
479450	OG0001569	0.1	-
480161	OG0002809	0.1	-
481155	OG0000378	0.1	-
482329	OG0001570	0.07500000000000001	-
482955	OG0000854	0.025	-
483514	OG0001571	0.025	-
483836	OG0001572	0.175	-
488335	OG0001573	0.225	-
489397	OG0000296	0.07500000000000001	-
491530	OG0000855	0.05	-
493503	OG0001574	0.025	-
493861	OG0001575	0	-
494383	OG0001576	0	-
495000	OG0001577	0	-
496370	OG0001578	0.025	-
497553	OG0001579	0.025	-
498020	OG0001580	0	-
499370	OG0001581	0	-
500810	OG0001582	0	-
501745	OG0001583	0	-
502685	OG0001584	0.025	-
503973	OG0001585	0.025	-
505593	OG0002810	0.025	-
507280	OG0002811	0.125	-
508934	OG0000311	0.15	-
510049	OG0005181	0.1	-
510698	OG0005182	0.07500000000000001	-
511361	OG0002812	0.1	-
512202	OG0001586	0.07500000000000001	-
513239	OG0003535	0.1	-
514720	OG0001587	0.1	-
516701	OG0001588	0.175	-
517816	OG0002813	0.6500000000000002	-
518790	OG0001589	1.5249999999999986	+
520280	OG0001590	1.2249999999999996	+
520964	OG0001591	0.6750000000000003	-
521907	OG0001592	0.6250000000000002	-
522622	OG0001593	0.6250000000000002	-
523502	OG0002814	0.6000000000000002	-
524375	OG0002815	0.6250000000000002	-
525085	OG0003104	0.6750000000000003	-
525726	OG0002816	0.8500000000000004	+
527273	OG0002817	2.0499999999999967	+
529268	OG0002818	1.974999999999997	+
530347	OG0001594	0.5250000000000001	-
531281	OG0002819	0.4500000000000001	-
532007	OG0002820	0.4250000000000001	-
533395	OG0001595	0.8000000000000004	-
535614	OG0003331	0.9000000000000005	+
536950	OG0000312	0.7750000000000004	-
538417	OG0000856	0.5750000000000002	-
539804	OG0003105	0.27499999999999997	-
541049	OG0003106	0.24999999999999997	-
542143	OG0002821	0.35000000000000003	-
543164	OG0001596	0.4500000000000001	-
546003	OG0001597	0.5500000000000002	-
547476	OG0001598	0.2	-
548524	OG0001599	0	-
549375	OG0001600	0	-
550788	OG0001601	0	-
551573	OG0001602	0.05	-
552088	OG0005022	0.05	-
552726	OG0001603	0.05	-
553337	OG0001604	0	-
554450	OG0001605	0	-
555439	OG0001606	0	-
555913	OG0001607	0.05	-
556454	OG0001608	0.6000000000000002	-
557719	OG0003666	0.7250000000000003	-
558615	OG0003660	1.0000000000000004	+
559663	OG0003959	1.2749999999999997	+
561244	OG0003546	1.3499999999999992	+
563176	OG0003234	1.724999999999998	+
565767	OG0003235	2.9499999999999935	+
567757	OG0003236	2.874999999999994	+
568809	OG0000219	0.6000000000000002	-
569999	OG0000220	0.7750000000000004	-
570880	OG0003107	0.5750000000000002	-
571673	OG0000215	0.5500000000000002	-
573868	OG0000212	0.325	-
576233	OG0000487	0.37500000000000006	-
577705	OG0002822	0.1	-
578763	OG0000857	0.07500000000000001	-
579360	OG0003536	0.1	-
579741	OG0003547	0.07500000000000001	-
580490	OG0002823	0.7250000000000003	-
581172	OG0005741	0.7500000000000003	-
582650	OG0000488	0.7500000000000003	-
584198	OG0000198	0.05	-
586166	OG0000858	0.025	-
586879	OG0000859	0	-
588925	OG0000860	0.05	-
591648	OG0000489	0.1	-
592619	OG0000109	0.1	-
593520	OG0001609	0.1	-
594515	OG0000379	0.07500000000000001	-
595753	OG0000380	0.07500000000000001	-
596860	OG0000381	0.05	-
598114	OG0000861	0.025	-
599517	OG0000862	0	-
600764	OG0000863	0	-
601566	OG0000864	0	-
602148	OG0000865	0.05	-
603588	OG0000242	0.1	-
604882	OG0000866	0.07500000000000001	-
605535	OG0000867	0.025	-
606768	OG0000868	0.15	-
607663	OG0000120	0.2	-
608561	OG0000115	0.24999999999999997	-
609769	OG0003428	0.225	-
610798	OG0000490	0.1	-
611824	OG0000491	0.05	-
613044	OG0000492	0.15	-
614177	OG0000493	0.5000000000000001	-
614559	OG0005023	0.37500000000000006	-
614952	OG0000494	0.3	-
615790	OG0000495	0.07500000000000001	-
617038	OG0000496	0.05	-
618260	OG0000382	0.05	-
618949	OG0000383	0.05	-
619995	OG0000384	0.05	-
621226	OG0000385	0.07500000000000001	-
621825	OG0000386	0.07500000000000001	-
622517	OG0000387	0.1	-
624253	OG0000388	0.125	-
625391	OG0000497	0.125	-
626464	OG0000249	0.1	-
628024	OG0000869	0.1	-
628583	OG0000870	0.025	-
628933	OG0000871	0.07500000000000001	-
629612	OG0000872	0.07500000000000001	-
630236	OG0000873	0.025	-
630920	OG0000874	0.025	-
631831	OG0003469	0.025	-
632747	OG0000875	0.025	-
633300	OG0000876	0.025	-
634147	OG0000877	0.05	-
635437	OG0000498	0.025	-
636548	OG0000878	0.025	-
638057	OG0000879	0	-
639272	OG0000880	0	-
639668	OG0000881	0	-
640392	OG0000882	0	-
641042	OG0000883	0	-
641880	OG0000884	0	-
642686	OG0000885	0.025	-
644283	OG0000499	0.05	-
646050	OG0000886	1.0000000000000004	+
646803	OG0000500	1.2249999999999996	+
647751	OG0000334	0.3	-
648451	OG0000501	0.125	-
649158	OG0000502	0.05	-
650152	OG0000503	0.1	-
651998	OG0004045	0.1	-
653833	OG0001610	0.1	-
655066	OG0001611	0.05	-
655828	OG0001612	0.025	-
656598	OG0001613	0	-
657964	OG0001614	0	-
659409	OG0001615	0.025	-
662068	OG0000887	0.05	-
663532	OG0000888	0.025	-
664566	OG0000889	0	-
665759	OG0000890	0	-
666793	OG0000891	0.025	-
668499	OG0000389	0.175	-
670201	OG0004977	0.15	-
671090	OG0004978	0.07500000000000001	-
671906	OG0004979	0.1	-
672906	OG0004717	0.1	-
673788	OG0004980	0.1	-
674814	OG0004981	0.07500000000000001	-
676180	OG0004982	0.07500000000000001	-
677284	OG0004983	0.07500000000000001	-
678159	OG0004984	0.1	-
679592	OG0000504	0.27499999999999997	-
681569	OG0000335	0.175	-
682485	OG0000505	0.05	-
682955	OG0000506	0.05	-
683732	OG0000507	0.05	-
684318	OG0000508	0	-
684952	OG0000509	0	-
685791	OG0000510	0.025	-
686910	OG0000511	0.35000000000000003	-
688446	OG0003443	1.5249999999999986	+
690202	OG0003470	2.024999999999997	+
692328	OG0000892	1.649999999999998	+
694006	OG0000512	0.35000000000000003	-
695627	OG0000390	0.24999999999999997	-
696946	OG0000391	0.27499999999999997	-
698829	OG0000336	0.3	-
700171	OG0000513	1.3499999999999992	+
700629	OG0000162	1.1	+
701590	OG0000514	0.175	-
703081	OG0000313	0.05	-
704464	OG0000515	0.07500000000000001	-
705187	OG0000893	0.05	-
705975	OG0000516	0.07500000000000001	-
706798	OG0000517	0.05	-
707596	OG0000518	0.225	-
708512	OG0000392	0.5500000000000002	-
710350	OG0000519	0.8250000000000004	+
711888	OG0000520	0.4000000000000001	-
712257	OG0000521	0.07500000000000001	-
713314	OG0000337	0.05	-
714571	OG0000314	0.07500000000000001	-
716880	OG0000522	0.05	-
718904	OG0000523	0	-
720358	OG0000524	0.025	-
721375	OG0000525	3.074999999999993	+
722607	OG0004907	3.5749999999999913	+
723255	OG0005738	3.4999999999999916	+
725278	OG0000526	4.875000000000002	+
726647	OG0000527	1.3749999999999991	+
727288	OG0000528	0	-
727491	OG0000529	0	-
727990	OG0000530	0	-
728535	OG0000531	0.025	-
729099	OG0000532	0.025	-
730010	OG0000533	0	-
731422	OG0000534	0	-
732363	OG0000535	0	-
733029	OG0000536	0.025	-
735092	OG0000537	0.025	-
736011	OG0000538	0.025	-
736838	OG0000338	0.025	-
737613	OG0000539	0.025	-
738645	OG0000540	0	-
739713	OG0000541	0	-
740812	OG0000542	0.05	-
741900	OG0003407	0.07500000000000001	-
743001	OG0003408	0.07500000000000001	-
744042	OG0003409	0.05	-
745547	OG0003410	0.025	-
746745	OG0003411	0.025	-
747342	OG0003412	0.025	-
747966	OG0003413	0.025	-
748697	OG0003414	0.025	-
749574	OG0003415	0.025	-
750513	OG0003416	0.025	-
751574	OG0003417	0.05	-
752589	OG0003237	0.175	-
753776	OG0003376	0.225	-
755094	OG0000894	0.4000000000000001	-
757124	OG0003418	0.35000000000000003	-
759036	OG0000895	0.2	-
760068	OG0000543	0.4500000000000001	-
760980	OG0000060	0.3	-
762300	OG0000544	0.24999999999999997	-
763552	OG0000545	0.07500000000000001	-
764646	OG0000393	0.1	-
765587	OG0000394	0.1	-
766296	OG0000546	0.1	-
768224	OG0000395	0.025	-
769727	OG0000547	0.05	-
771072	OG0000548	0.05	-
771845	OG0000549	0.025	-
772346	OG0000550	0	-
772704	OG0000551	0	-
773055	OG0000552	0.07500000000000001	-
773770	OG0000553	0.5000000000000001	-
774683	OG0000896	0.5500000000000002	-
775554	OG0000554	0.225	-
776652	OG0000555	0.025	-
777650	OG0000556	0.025	-
778369	OG0000396	0.025	-
779089	OG0000557	0.05	-
780219	OG0000397	0.07500000000000001	-
781647	OG0000558	0.1	-
783005	OG0000559	0.05	-
783841	OG0000560	0.125	-
785086	OG0000339	0.35000000000000003	-
786098	OG0003843	0.4000000000000001	-
787379	OG0002824	0.4000000000000001	-
788963	OG0000561	0.2	-
790127	OG0000562	0.15	-
791029	OG0000563	0.35000000000000003	-
792101	OG0000564	0.4000000000000001	-
793798	OG0000398	0.37500000000000006	-
795334	OG0000565	0.3	-
796203	OG0000566	0.24999999999999997	-
797775	OG0000567	0.27499999999999997	-
799367	OG0000568	0.24999999999999997	-
800054	OG0000569	0.225	-
800896	OG0000570	0.24999999999999997	-
801924	OG0000571	0.27499999999999997	-
802918	OG0000315	0.27499999999999997	-
803972	OG0000572	0.3	-
805070	OG0000340	0.24999999999999997	-
806198	OG0000573	0.27499999999999997	-
806681	OG0000574	0.3	-
807471	OG0000399	0.27499999999999997	-
808548	OG0000575	0.37500000000000006	-
810023	OG0000576	1.0000000000000004	+
811426	OG0000577	0.8750000000000004	+
813196	OG0000897	0.27499999999999997	-
814867	OG0000898	0.07500000000000001	-
815779	OG0000899	0.05	-
816560	OG0000900	0.025	-
817552	OG0000901	0.1	-
818856	OG0000179	0.175	-
820261	OG0000273	0.24999999999999997	-
821986	OG0000287	0.2	-
823233	OG0000902	0.1	-
824151	OG0000903	0.05	-
825962	OG0000207	0.07500000000000001	-
827813	OG0000904	0.15	-
829186	OG0000905	0.07500000000000001	-
830253	OG0000906	0.025	-
831113	OG0000907	0.05	-
831981	OG0000908	0.05	-
833142	OG0000909	0.05	-
834169	OG0000400	0.05	-
834904	OG0001616	0.1	-
836103	OG0001617	0.07500000000000001	-
836899	OG0001618	0.025	-
837537	OG0001619	0.07500000000000001	-
838508	OG0000578	0.07500000000000001	-
839505	OG0001620	0.125	-
840791	OG0000579	0.125	-
842092	OG0002825	0.07500000000000001	-
842439	OG0001621	0.05	-
842871	OG0001622	0.05	-
843360	OG0000297	0.05	-
844233	OG0001623	0.07500000000000001	-
845010	OG0001624	0.07500000000000001	-
846154	OG0001625	0.05	-
847371	OG0001626	0.1	-
848420	OG0000910	0.1	-
849311	OG0001627	0.07500000000000001	-
850038	OG0001628	0.07500000000000001	-
850886	OG0000911	0.07500000000000001	-
851844	OG0000912	0.125	-
852770	OG0000913	0.05	-
853462	OG0000914	0	-
854192	OG0000915	0	-
854940	OG0000916	0.05	-
855779	OG0000580	0.15	-
856324	OG0001629	0.225	-
856898	OG0001630	0.2	-
859137	OG0000917	0.2	-
860363	OG0000401	0.1	-
861760	OG0000402	0.1	-
863236	OG0000918	0.1	-
864558	OG0000919	0.025	-
865977	OG0000920	0.15	-
867269	OG0000581	0.2	-
868872	OG0000403	0.2	-
870194	OG0000582	0.175	-
871371	OG0000341	0.15	-
872890	OG0000298	0.175	-
874048	OG0000921	0.7500000000000003	-
874643	OG0000583	0.7750000000000004	-
875972	OG0000584	0.6000000000000002	-
878554	OG0003832	0.7500000000000003	-
880659	OG0006242	0.6250000000000002	-
883259	OG0006243	0.37500000000000006	-
884371	OG0006244	0.37500000000000006	-
885344	OG0006245	0.35000000000000003	-
886133	OG0006246	0.35000000000000003	-
888521	OG0000404	0.4250000000000001	-
889267	OG0000405	0.125	-
890521	OG0000585	0.1	-
892266	OG0000406	0.07500000000000001	-
893807	OG0001631	0.05	-
895028	OG0000586	0.07500000000000001	-
897436	OG0000299	0.05	-
899926	OG0000587	0.05	-
900914	OG0000588	0.025	-
902323	OG0000300	0.1	-
904430	OG0000922	0.5000000000000001	-
905971	OG0001632	0.5000000000000001	-
906713	OG0000407	0.47500000000000014	-
907485	OG0000923	0.6000000000000002	-
908689	OG0000924	1.2749999999999997	+
909718	OG0000589	1.5499999999999985	+
911421	OG0000213	0.5750000000000002	-
913215	OG0000590	0.325	-
914760	OG0000591	0.07500000000000001	-
916116	OG0000592	0.025	-
917205	OG0000593	0.05	-
918461	OG0000594	0.6000000000000002	-
919655	OG0000595	0.6500000000000002	-
920551	OG0000596	0.1	-
921840	OG0000597	0.05	-
922979	OG0000598	0.07500000000000001	-
924459	OG0000217	0.1	-
926502	OG0000408	0.2	-
927866	OG0000409	0.175	-
929012	OG0000410	0.125	-
929771	OG0000411	0.1	-
930232	OG0000412	0.05	-
931205	OG0000413	0.025	-
932018	OG0000414	0.025	-
932936	OG0000415	0.025	-
933987	OG0000416	0.025	-
934981	OG0000599	0.07500000000000001	-
937563	OG0000417	0.1	-
940977	OG0000418	0.07500000000000001	-
942356	OG0000600	0.025	-
942980	OG0000601	0.025	-
943949	OG0000419	0.05	-
945273	OG0000420	0.125	-
947099	OG0000343	0.125	-
948569	OG0000602	0.07500000000000001	-
950742	OG0000421	0.07500000000000001	-
952626	OG0000422	0.07500000000000001	-
953404	OG0000603	0.05	-
954382	OG0000604	0.07500000000000001	-
955431	OG0000344	0.07500000000000001	-
956191	OG0000605	0.27499999999999997	-
957221	OG0000606	0.2	-
958171	OG0000607	0	-
958993	OG0000608	0.025	-
960700	OG0000609	0.025	-
962719	OG0000610	0	-
964429	OG0000611	0.025	-
965881	OG0000423	0.025	-
966979	OG0000612	0.025	-
967600	OG0000613	0	-
968067	OG0000614	0.025	-
969221	OG0000345	0.025	-
970513	OG0000615	0.05	-
971337	OG0000616	0.025	-
972467	OG0000617	0.025	-
973255	OG0000618	0.05	-
974609	OG0000619	0.025	-
975928	OG0000620	0	-
977301	OG0000621	0	-
978589	OG0000622	0.05	-
979245	OG0000424	0.05	-
979955	OG0000623	0.025	-
980365	OG0000624	0.025	-
981169	OG0000625	0.025	-
982006	OG0000626	0	-
982306	OG0000627	0	-
