locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHCJGCNO_00089	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
MHCJGCNO_00090	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
MHCJGCNO_00091	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
MHCJGCNO_00092	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
MHCJGCNO_00093	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
MHCJGCNO_00094	CDS	588	secM			Secretion monitor
MHCJGCNO_00095	CDS	2706	secA		COG0653	Protein translocase subunit SecA
MHCJGCNO_00096	CDS	399	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
MHCJGCNO_00097	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
MHCJGCNO_00098	CDS	744	zapD		COG4582	Cell division protein ZapD
MHCJGCNO_00099	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
MHCJGCNO_00100	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
MHCJGCNO_00101	CDS	1203	epsF_1		COG1459	Type II secretion system protein F
MHCJGCNO_00102	CDS	1386	epsE_1		COG2804	Type II secretion system protein E
MHCJGCNO_00103	CDS	441				hypothetical protein
MHCJGCNO_00104	CDS	894	nadC_1	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
MHCJGCNO_00105	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
MHCJGCNO_00106	CDS	855	ampE		COG3725	Protein AmpE
MHCJGCNO_00107	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
MHCJGCNO_00108	CDS	1782				hypothetical protein
MHCJGCNO_00109	CDS	291	imm_1			Colicin-E7 immunity protein
MHCJGCNO_00110	CDS	294	imm_2			Colicin-E7 immunity protein
MHCJGCNO_00111	CDS	291	imm_3			Colicin-E7 immunity protein
MHCJGCNO_00112	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
MHCJGCNO_00113	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
MHCJGCNO_00114	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MHCJGCNO_00115	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
MHCJGCNO_00116	CDS	1746				hypothetical protein
MHCJGCNO_00117	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
MHCJGCNO_00118	CDS	363				hypothetical protein
MHCJGCNO_00119	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
MHCJGCNO_00120	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
MHCJGCNO_00121	CDS	309				hypothetical protein
MHCJGCNO_00122	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
MHCJGCNO_00123	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
MHCJGCNO_00124	CDS	549	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
MHCJGCNO_00125	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
MHCJGCNO_00126	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
MHCJGCNO_00127	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
MHCJGCNO_00128	CDS	441				hypothetical protein
MHCJGCNO_00129	CDS	1230				hypothetical protein
MHCJGCNO_00130	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
MHCJGCNO_00131	CDS	885				ISNCY family transposase ISRor2
MHCJGCNO_00132	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
MHCJGCNO_00133	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
MHCJGCNO_00134	CDS	1263	yadC			putative fimbrial-like protein YadC
MHCJGCNO_00135	CDS	597	yadK			putative fimbrial-like protein YadK
MHCJGCNO_00136	CDS	609	yadL			putative fimbrial-like protein YadL
MHCJGCNO_00137	CDS	567	yadM			putative fimbrial-like protein YadM
MHCJGCNO_00138	CDS	2589	htrE		COG3188	Outer membrane usher protein HtrE
MHCJGCNO_00139	CDS	741	yadV			putative fimbrial chaperone YadV
MHCJGCNO_00140	CDS	591	yadN			putative fimbrial-like protein YadN
MHCJGCNO_00141	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
MHCJGCNO_00142	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
MHCJGCNO_00143	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
MHCJGCNO_00144	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
MHCJGCNO_00145	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
MHCJGCNO_00146	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
MHCJGCNO_00147	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
MHCJGCNO_00148	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
MHCJGCNO_00149	CDS	1344	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
MHCJGCNO_00150	CDS	813	fhuA_2		COG1629	Ferrichrome outer membrane transporter/phage receptor
MHCJGCNO_00151	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
MHCJGCNO_00152	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
MHCJGCNO_00153	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
MHCJGCNO_00154	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
MHCJGCNO_00155	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
MHCJGCNO_00156	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
MHCJGCNO_00157	CDS	624				hypothetical protein
MHCJGCNO_00158	CDS	801	btuF		COG0614	Vitamin B12-binding protein
MHCJGCNO_00159	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
MHCJGCNO_00160	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
MHCJGCNO_00161	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
MHCJGCNO_00162	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
MHCJGCNO_00163	CDS	387				hypothetical protein
MHCJGCNO_00164	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
MHCJGCNO_00165	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
MHCJGCNO_00166	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
MHCJGCNO_00167	CDS	726	rpsB		COG0052	30S ribosomal protein S2
MHCJGCNO_00168	CDS	852	tsf		COG0264	Elongation factor Ts
MHCJGCNO_00169	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
MHCJGCNO_00170	CDS	558	frr		COG0233	Ribosome-recycling factor
MHCJGCNO_00171	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
MHCJGCNO_00172	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
MHCJGCNO_00173	CDS	153				hypothetical protein
MHCJGCNO_00174	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
MHCJGCNO_00175	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
MHCJGCNO_00176	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
MHCJGCNO_00177	CDS	486	skp		COG2825	Chaperone protein Skp
MHCJGCNO_00178	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
MHCJGCNO_00179	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
MHCJGCNO_00180	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
MHCJGCNO_00181	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
MHCJGCNO_00182	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
MHCJGCNO_00183	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
MHCJGCNO_00184	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
MHCJGCNO_00185	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
MHCJGCNO_00186	CDS	390				hypothetical protein
MHCJGCNO_00187	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
MHCJGCNO_00188	CDS	261	rof		COG4568	Protein rof
MHCJGCNO_00189	CDS	201				hypothetical protein
MHCJGCNO_00190	CDS	546	yaeQ		COG4681	putative protein YaeQ
MHCJGCNO_00191	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
MHCJGCNO_00192	CDS	711	nlpE		COG3015	Lipoprotein NlpE
MHCJGCNO_00193	CDS	825				hypothetical protein
MHCJGCNO_00194	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
MHCJGCNO_00195	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
MHCJGCNO_00196	CDS	405	rcsF			Outer membrane lipoprotein RcsF
MHCJGCNO_00197	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
MHCJGCNO_00198	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
MHCJGCNO_00199	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
MHCJGCNO_00200	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
MHCJGCNO_00201	rRNA	1538				16S ribosomal RNA
MHCJGCNO_00202	tRNA	77				tRNA-Ile(gat)
MHCJGCNO_00203	tRNA	76				tRNA-Ala(tgc)
MHCJGCNO_00204	rRNA	2899				23S ribosomal RNA
MHCJGCNO_00205	rRNA	111				5S ribosomal RNA
MHCJGCNO_00206	tRNA	77				tRNA-Asp(gtc)
MHCJGCNO_00207	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
MHCJGCNO_00208	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
MHCJGCNO_00209	CDS	825				hypothetical protein
MHCJGCNO_00210	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
MHCJGCNO_00211	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
MHCJGCNO_00212	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
MHCJGCNO_00213	CDS	723				hypothetical protein
MHCJGCNO_00214	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
MHCJGCNO_00215	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
MHCJGCNO_00216	tRNA	77				tRNA-Asp(gtc)
MHCJGCNO_00217	CDS	786				hypothetical protein
MHCJGCNO_00218	CDS	480	hcpA_1		COG3157	Major exported protein
MHCJGCNO_00219	CDS	1359				hypothetical protein
MHCJGCNO_00220	CDS	3525				hypothetical protein
MHCJGCNO_00221	CDS	1443				hypothetical protein
MHCJGCNO_00222	CDS	744				hypothetical protein
MHCJGCNO_00223	CDS	2763	clpV1_1		COG0542	Protein ClpV1
MHCJGCNO_00224	CDS	765				hypothetical protein
MHCJGCNO_00225	CDS	1347				hypothetical protein
MHCJGCNO_00226	CDS	525				hypothetical protein
MHCJGCNO_00227	CDS	1281				hypothetical protein
MHCJGCNO_00228	CDS	1050				hypothetical protein
MHCJGCNO_00229	CDS	1842				hypothetical protein
MHCJGCNO_00230	CDS	426				hypothetical protein
MHCJGCNO_00231	CDS	1485				hypothetical protein
MHCJGCNO_00232	CDS	504				hypothetical protein
MHCJGCNO_00233	CDS	519	hcpA_2		COG3157	Major exported protein
MHCJGCNO_00234	CDS	120				hypothetical protein
MHCJGCNO_00235	CDS	2343	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
MHCJGCNO_00236	CDS	900				hypothetical protein
MHCJGCNO_00237	CDS	666				hypothetical protein
MHCJGCNO_00238	CDS	651				hypothetical protein
MHCJGCNO_00239	CDS	1983	vgrG1_2	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
MHCJGCNO_00240	CDS	1047				hypothetical protein
MHCJGCNO_00241	CDS	1440				hypothetical protein
MHCJGCNO_00242	CDS	291				hypothetical protein
MHCJGCNO_00243	CDS	180				hypothetical protein
MHCJGCNO_00244	CDS	486				hypothetical protein
MHCJGCNO_00245	CDS	504				hypothetical protein
MHCJGCNO_00246	CDS	489				hypothetical protein
MHCJGCNO_00247	CDS	132				hypothetical protein
MHCJGCNO_00248	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
MHCJGCNO_00249	CDS	447	ivy			Inhibitor of vertebrate lysozyme
MHCJGCNO_00250	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
MHCJGCNO_00251	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
MHCJGCNO_00252	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
MHCJGCNO_00253	CDS	741				hypothetical protein
MHCJGCNO_00254	CDS	750				hypothetical protein
MHCJGCNO_00255	CDS	498	rayT		COG1943	REP-associated tyrosine transposase
MHCJGCNO_00256	CDS	501				hypothetical protein
MHCJGCNO_00257	CDS	1740	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
MHCJGCNO_00258	CDS	636	lafU		COG1360	Chemotaxis protein LafU
MHCJGCNO_00259	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
MHCJGCNO_00260	CDS	294	yafN		COG2161	Antitoxin YafN
MHCJGCNO_00261	CDS	399	yafO	3.1.-.-		mRNA interferase toxin YafO
MHCJGCNO_00262	CDS	375	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
MHCJGCNO_00263	CDS	1152	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
MHCJGCNO_00264	CDS	615	prfA_1		COG0216	Peptide chain release factor 1
MHCJGCNO_00265	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
MHCJGCNO_00266	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
MHCJGCNO_00267	CDS	1245				hypothetical protein
MHCJGCNO_00268	CDS	402	crl			Sigma factor-binding protein Crl
MHCJGCNO_00269	CDS	1056	phoE		COG3203	Outer membrane porin PhoE
MHCJGCNO_00270	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
MHCJGCNO_00271	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
MHCJGCNO_00272	tRNA	76				tRNA-Thr(cgt)
MHCJGCNO_00273	CDS	339	intS		COG0582	Prophage integrase IntS
MHCJGCNO_00274	CDS	525	mprA_1		COG1846	Transcriptional repressor MprA
MHCJGCNO_00275	CDS	4131	hbp	3.4.21.-		Hemoglobin-binding protease hbp autotransporter
MHCJGCNO_00276	CDS	216				hypothetical protein
MHCJGCNO_00277	CDS	615	yagU		COG3477	Inner membrane protein YagU
MHCJGCNO_00278	CDS	711	ecpE			putative fimbrial chaperone EcpE
MHCJGCNO_00279	CDS	1644	ecpD			Fimbria adhesin EcpD
MHCJGCNO_00280	CDS	2526	ecpC			putative outer membrane usher protein EcpC
MHCJGCNO_00281	CDS	669	ecpB			putative fimbrial chaperone EcpB
MHCJGCNO_00282	CDS	588	ecpA			Common pilus major fimbrillin subunit EcpA
MHCJGCNO_00283	CDS	543	ecpR			HTH-type transcriptional regulator EcpR
MHCJGCNO_00284	CDS	141	ykgO		COG0257	50S ribosomal protein L36 2
MHCJGCNO_00285	CDS	267	ykgM		COG0254	50S ribosomal protein L31 type B
MHCJGCNO_00286	CDS	102	ykgR			putative membrane protein YkgR
MHCJGCNO_00287	CDS	1143		1.-.-.-		NADH oxidase
MHCJGCNO_00288	CDS	921	ycjY_1		COG1073	putative protein YcjY
MHCJGCNO_00289	CDS	927	pgrR_1			HTH-type transcriptional regulator PgrR
MHCJGCNO_00290	CDS	894	pgrR_2			HTH-type transcriptional regulator PgrR
MHCJGCNO_00291	CDS	990	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
MHCJGCNO_00292	CDS	852	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
MHCJGCNO_00293	CDS	4251				hypothetical protein
MHCJGCNO_00294	CDS	858	rob_1		COG2207	Right origin-binding protein
MHCJGCNO_00295	CDS	870	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
MHCJGCNO_00296	CDS	594	rclC		COG3059	Inner membrane protein RclC
MHCJGCNO_00297	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
MHCJGCNO_00298	CDS	855	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
MHCJGCNO_00299	CDS	720	lutA_1		COG0247	Lactate utilization protein A
MHCJGCNO_00300	CDS	1428	lutB		COG1139	Lactate utilization protein B
MHCJGCNO_00301	CDS	696	lutC		COG1556	Lactate utilization protein C
MHCJGCNO_00302	CDS	669				hypothetical protein
MHCJGCNO_00303	CDS	2463				hypothetical protein
MHCJGCNO_00304	CDS	762				hypothetical protein
MHCJGCNO_00305	CDS	141				hypothetical protein
MHCJGCNO_00306	CDS	795				hypothetical protein
MHCJGCNO_00307	CDS	564				ISKra4 family transposase ISCep1
MHCJGCNO_00308	CDS	282				hypothetical protein
MHCJGCNO_00309	CDS	1671	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
MHCJGCNO_00310	CDS	1473	betB	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
MHCJGCNO_00311	CDS	588	betI_1		COG1309	HTH-type transcriptional regulator BetI
MHCJGCNO_00312	CDS	2034	betT		COG1292	High-affinity choline transport protein
MHCJGCNO_00313	CDS	1089	pdeL	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeL
MHCJGCNO_00314	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
MHCJGCNO_00315	CDS	498				hypothetical protein
MHCJGCNO_00316	CDS	606				hypothetical protein
MHCJGCNO_00317	CDS	864				hypothetical protein
MHCJGCNO_00318	CDS	1548	fdrA_1		COG0074	Protein FdrA
MHCJGCNO_00319	CDS	1419				hypothetical protein
MHCJGCNO_00320	CDS	366				hypothetical protein
MHCJGCNO_00321	CDS	951	arcC2	2.7.2.2		Carbamate kinase 2
