	GCF_000185885.1_ASM18588v1_genomic	GCF_000189495.1_ASM18949v1_genomic	GCF_000478385.1_MRSP_E140_v1.0_genomic	GCF_001622945.1_ASM162294v1_genomic	GCF_001622965.1_ASM162296v1_genomic	GCF_001623005.1_ASM162300v1_genomic	GCF_001682335.1_ASM168233v1_genomic	GCF_001682435.2_ASM168243v2_genomic	GCF_001685665.2_ASM168566v2_genomic	GCF_001792775.2_ASM179277v2_genomic	GCF_001940385.1_ASM194038v1_genomic	GCF_002362305.1_ASM236230v1_genomic	GCF_002362325.1_ASM236232v1_genomic	GCF_002366355.1_ASM236635v1_genomic	GCF_002366365.1_ASM236636v1_genomic	GCF_002366375.1_ASM236637v1_genomic	GCF_002366395.1_ASM236639v1_genomic	GCF_002766935.1_ASM276693v1_genomic	GCF_002766945.1_ASM276694v1_genomic	GCF_002766955.1_ASM276695v1_genomic	GCF_002766965.1_ASM276696v1_genomic	GCF_002767065.1_ASM276706v1_genomic	GCF_002767115.1_ASM276711v1_genomic	GCF_002767135.1_ASM276713v1_genomic	GCF_002767145.1_ASM276714v1_genomic	GCF_002767245.1_ASM276724v1_genomic	GCF_002767295.1_ASM276729v1_genomic	GCF_002767355.1_ASM276735v1_genomic	GCF_002767365.1_ASM276736v1_genomic	GCF_002767445.1_ASM276744v1_genomic	GCF_002767475.1_ASM276747v1_genomic	GCF_002767495.1_ASM276749v1_genomic	GCF_002767615.1_ASM276761v1_genomic	GCF_002767625.1_ASM276762v1_genomic	GCF_002767705.1_ASM276770v1_genomic	GCF_002767765.1_ASM276776v1_genomic	GCF_002767805.1_ASM276780v1_genomic	GCF_002767815.1_ASM276781v1_genomic	GCF_002767885.1_ASM276788v1_genomic	GCF_002767915.1_ASM276791v1_genomic	GCF_002767925.1_ASM276792v1_genomic	GCF_002767945.1_ASM276794v1_genomic	GCF_002767985.1_ASM276798v1_genomic	GCF_002768035.1_ASM276803v1_genomic	GCF_002768045.1_ASM276804v1_genomic	GCF_002768095.1_ASM276809v1_genomic	GCF_002768215.1_ASM276821v1_genomic	GCF_002768275.1_ASM276827v1_genomic	GCF_002768335.1_ASM276833v1_genomic	GCF_002768345.1_ASM276834v1_genomic	GCF_002768355.1_ASM276835v1_genomic	GCF_002768365.1_ASM276836v1_genomic	GCF_002768435.1_ASM276843v1_genomic	GCF_002768455.1_ASM276845v1_genomic	GCF_002847165.1_ASM284716v1_genomic	GCF_002847175.1_ASM284717v1_genomic	GCF_002847225.2_ASM284722v2_genomic	GCF_002847235.2_ASM284723v2_genomic	GCF_002847265.1_ASM284726v2_genomic	GCF_002902125.1_ASM290212v1_genomic	GCF_002922545.1_ASM292254v1_genomic	GCF_002922555.1_ASM292255v1_genomic	GCF_002922565.1_ASM292256v1_genomic	GCF_002922625.1_ASM292262v1_genomic	GCF_002922635.1_ASM292263v1_genomic	GCF_002922675.1_ASM292267v1_genomic	GCF_002922705.1_ASM292270v1_genomic	GCF_002976235.1_ASM297623v1_genomic	GCF_002976255.1_ASM297625v1_genomic	GCF_003185065.1_ASM318506v1_genomic	GCF_003185075.1_ASM318507v1_genomic	GCF_003185095.1_ASM318509v1_genomic	GCF_003185105.1_ASM318510v1_genomic	GCF_003185145.1_ASM318514v1_genomic	GCF_003185175.1_ASM318517v1_genomic	GCF_003185195.1_ASM318519v1_genomic	GCF_003185215.1_ASM318521v1_genomic	GCF_003185255.1_ASM318525v1_genomic	GCF_003185295.1_ASM318529v1_genomic	GCF_003185305.1_ASM318530v1_genomic	GCF_003185325.1_ASM318532v1_genomic	GCF_003185365.1_ASM318536v1_genomic	GCF_003185395.1_ASM318539v1_genomic	GCF_003185445.1_ASM318544v1_genomic	GCF_003185455.1_ASM318545v1_genomic	GCF_003185465.1_ASM318546v1_genomic	GCF_003185485.1_ASM318548v1_genomic	GCF_003185525.1_ASM318552v1_genomic	GCF_003185535.1_ASM318553v1_genomic	GCF_003185565.1_ASM318556v1_genomic	GCF_003185605.1_ASM318560v1_genomic	GCF_003185815.1_ASM318581v1_genomic	GCF_003383685.1_ASM338368v1_genomic	GCF_003383805.1_ASM338380v1_genomic	GCF_003383845.1_ASM338384v1_genomic	GCF_003383875.1_ASM338387v1_genomic	GCF_003383915.1_ASM338391v1_genomic	GCF_003383925.1_ASM338392v1_genomic	GCF_003383985.1_ASM338398v1_genomic	GCF_003383995.1_ASM338399v1_genomic	Total
OG0000010	0	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	1	3	2	2	0	2	0	2	2	0	2	1	0	2	0	0	3	0	0	0	0	0	2	164
OG0000011	0	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	1	1	0	2	2	2	2	0	2	0	2	2	0	1	1	0	2	0	0	2	0	0	0	0	0	2	159
OG0000012	2	0	6	0	1	0	3	3	1	0	4	1	1	0	0	0	1	4	3	0	3	3	3	3	2	0	4	4	0	4	4	3	1	1	3	1	3	2	3	5	4	2	1	4	1	1	1	3	1	1	2	1	3	1	0	0	1	2	0	0	3	1	3	2	3	1	3	1	1	2	1	1	2	2	2	2	0	1	1	0	1	1	0	1	1	0	1	2	2	0	1	0	1	0	0	1	0	1	1	1	158
OG0000013	2	11	6	2	2	2	13	7	10	3	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	2	0	9	8	2	0	1	0	1	1	1	1	1	0	0	11	4	0	1	2	0	0	3	3	5	4	1	0	0	0	1	0	0	0	1	0	1	2	2	1	1	1	1	1	1	0	0	2	1	2	1	0	2	1	0	0	1	2	1	0	1	1	0	1	1	1	0	157
OG0000014	0	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	3	1	1	0	2	0	3	2	0	2	0	2	2	0	1	0	0	2	0	0	2	0	0	0	0	0	2	157
OG0000015	3	2	6	0	1	1	2	8	3	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	0	1	1	0	1	2	1	1	1	0	1	1	1	1	1	2	0	1	2	2	1	2	2	1	1	0	0	1	1	0	1	2	1	2	1	1	1	1	0	0	0	1	4	1	1	2	152
OG0000016	1	2	4	1	1	1	3	4	1	1	2	3	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	1	2	1	2	2	2	2	2	2	1	2	1	1	2	1	2	2	1	2	2	1	1	0	0	1	1	1	2	1	2	2	2	1	2	1	1	2	0	0	2	2	0	2	2	1	1	1	2	2	2	1	1	3	1	2	0	0	1	2	0	1	1	1	2	2	0	2	149
OG0000017	1	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	1	2	1	2	2	2	1	2	2	1	2	2	2	1	1	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	2	2	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	2	2	2	2	1	1	2	1	2	2	2	2	2	2	145
OG0000018	1	1	2	1	1	1	1	2	2	1	2	2	2	1	2	1	1	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	3	1	1	2	2	2	1	1	2	2	2	2	0	2	1	2	2	2	2	1	2	2	2	1	1	1	1	2	1	1	2	2	1	1	2	0	1	1	1	1	1	0	2	144
OG0000019	1	1	2	2	1	1	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	0	1	1	1	2	1	2	0	1	0	2	2	1	1	1	2	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	143
OG0000020	2	1	1	1	2	1	3	1	2	1	1	1	2	1	2	1	2	1	1	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	1	1	1	2	2	2	1	1	2	1	1	1	2	2	2	2	1	2	2	2	2	1	2	2	0	1	2	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	1	2	1	1	2	1	1	2	2	142
OG0000021	1	1	2	1	0	0	1	3	3	1	3	3	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	1	2	1	1	1	2	1	2	1	2	2	0	2	1	1	1	2	1	1	1	2	2	2	1	1	2	2	0	0	0	2	0	1	3	2	3	1	3	2	3	1	2	1	1	1	3	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	141
OG0000022	1	0	3	0	1	0	1	3	2	0	3	2	2	1	1	1	2	3	2	1	3	2	3	2	2	1	3	3	1	3	3	2	1	0	3	1	0	1	3	3	3	1	1	3	1	1	0	2	1	1	0	0	2	2	0	0	1	1	0	0	3	2	3	1	2	2	3	1	2	3	1	1	3	2	1	2	0	0	2	1	0	1	1	2	0	0	0	2	1	0	2	0	1	0	0	1	0	1	1	2	139
OG0000023	5	7	2	2	1	1	2	2	7	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	1	2	1	2	1	1	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	2	1	2	1	2	1	2	1	1	2	1	1	1	0	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	0	1	2	2	138
OG0000024	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	2	2	1	2	2	1	2	2	2	1	1	2	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	2	1	1	2	2	1	2	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	2	1	1	2	3	1	2	1	1	137
OG0000025	2	0	5	0	1	0	3	2	2	0	3	2	1	0	1	0	1	3	2	0	2	2	2	2	1	0	3	3	0	3	3	2	0	1	2	0	2	1	3	3	3	2	1	3	1	1	1	2	0	0	2	2	2	1	0	0	1	1	0	0	2	2	2	1	2	2	2	1	2	2	1	2	3	2	1	1	0	1	1	0	1	2	1	1	1	1	1	2	1	1	1	0	1	0	0	1	0	1	1	2	135
OG0000026	1	2	2	0	1	1	3	2	3	1	2	1	1	1	1	2	2	0	1	1	0	3	0	0	0	1	0	0	1	0	1	2	1	2	0	0	3	3	0	3	0	0	3	1	3	1	3	0	0	3	3	1	3	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	0	1	3	0	1	1	2	1	1	0	1	1	2	1	1	1	1	2	1	2	2	4	0	0	2	1	3	1	2	1	3	131
OG0000027	1	0	4	0	1	0	8	1	1	0	2	1	1	0	1	0	1	2	1	0	1	2	1	1	0	0	2	2	0	2	2	1	0	1	1	0	2	1	2	3	2	1	2	2	2	2	1	2	0	0	5	2	1	1	0	0	1	2	0	0	3	2	1	4	1	2	3	3	2	1	1	1	2	2	0	1	0	1	1	0	1	3	1	1	1	1	1	1	1	3	0	0	2	0	0	1	0	1	2	3	129
OG0000028	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	1	1	2	1	1	1	2	2	2	1	2	1	3	1	1	1	2	2	2	1	2	2	1	1	1	1	2	1	129
OG0000029	1	0	2	0	1	0	1	3	2	0	1	0	2	1	1	1	2	3	2	1	3	2	3	2	2	1	3	3	1	3	3	2	1	0	3	1	0	1	3	3	1	1	1	3	1	1	0	2	1	1	0	0	2	2	0	0	1	1	0	0	3	2	3	1	2	2	3	1	2	2	1	1	2	2	1	2	0	0	2	1	0	1	1	2	0	0	0	2	1	0	2	0	1	0	0	1	0	1	1	0	128
OG0000030	3	0	3	0	1	0	1	3	1	0	3	1	1	0	0	0	1	3	2	0	3	2	3	2	2	0	3	3	0	3	3	2	1	0	3	1	0	1	3	3	3	2	1	3	1	1	0	2	1	1	0	0	2	1	0	0	1	0	0	0	3	2	3	1	2	2	3	1	2	3	1	1	3	2	1	3	0	0	1	0	1	1	1	1	0	0	0	3	1	0	1	0	1	0	0	1	0	1	1	1	128
OG0000031	1	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	2	2	1	2	2	2	2	2	2	0	2	128
OG0000032	0	0	4	1	0	0	1	1	6	0	2	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1	3	2	1	2	2	2	1	1	1	0	2	2	2	3	2	0	0	2	0	0	0	1	1	1	1	2	1	1	0	0	0	3	0	0	2	2	1	1	2	2	2	1	3	1	1	0	2	2	2	2	0	1	1	1	2	0	0	3	2	0	2	1	2	0	3	0	1	3	0	0	1	0	1	3	127
OG0000033	2	0	3	0	1	0	1	3	1	0	3	1	1	0	0	0	1	3	2	0	3	2	3	2	2	0	3	3	0	3	3	2	1	0	3	1	0	1	3	3	3	2	1	3	1	1	0	2	1	1	0	0	2	1	0	0	1	0	0	0	3	2	3	1	2	2	3	1	2	3	1	1	2	2	1	3	0	0	1	0	1	1	1	1	0	0	0	3	1	0	1	0	1	0	0	1	0	1	1	1	126
OG0000034	2	0	3	0	1	0	1	3	1	0	3	1	1	0	0	0	1	3	2	0	3	2	3	2	3	0	3	3	0	3	3	2	1	0	3	1	0	1	3	3	3	2	1	3	1	1	0	2	1	1	0	0	2	1	0	0	1	0	0	0	3	2	3	1	2	2	3	1	2	3	1	1	2	1	1	3	0	0	1	0	1	1	1	1	0	0	0	2	1	0	1	0	1	0	0	1	0	1	1	1	125
OG0000035	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	1	1	2	0	2	2	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	122
OG0000036	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0	0	1	0	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	2	1	1	3	2	1	2	1	2	3	2	121
OG0000037	0	2	3	0	0	0	0	3	2	0	3	2	2	2	2	2	0	4	3	2	4	2	3	3	2	2	3	3	2	3	3	3	0	0	4	0	0	0	4	4	2	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	0	2	2	0	2	1	0	1	0	1	1	0	0	1	2	0	1	0	2	0	0	0	0	2	0	2	0	0	2	1	1	0	3	0	2	120
OG0000038	1	1	1	2	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	2	1	2	0	2	2	2	2	2	2	2	1	1	0	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	0	0	1	1	2	2	1	2	1	1	0	1	1	1	1	0	2	1	1	2	1	2	1	1	119
OG0000039	1	2	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	2	1	2	1	2	2	2	1	2	2	1	2	2	2	2	2	2	1	0	1	2	2	2	0	1	2	1	1	0	1	2	0	1	1	1	1	0	0	0	0	0	1	2	1	2	1	2	1	2	1	1	1	2	1	0	2	2	1	1	1	0	1	1	1	1	1	1	2	1	0	2	1	1	0	1	1	0	0	0	1	1	1	117
OG0000040	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	3	1	1	2	1	1	1	3	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	116
OG0000041	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	3	1	3	3	113
OG0000042	2	2	1	1	1	1	1	3	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	112
OG0000043	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	110
OG0000044	1	1	2	0	1	1	0	2	2	0	2	2	1	1	1	1	1	2	2	1	2	1	2	2	2	1	2	2	1	2	2	2	1	1	2	0	1	1	2	2	2	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	2	1	2	1	2	1	2	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	1	2	0	1	1	1	1	2	2	110
OG0000045	1	0	1	1	0	0	3	1	3	1	1	2	3	2	2	2	3	0	1	3	0	1	0	1	1	3	1	0	3	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	3	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	2	0	0	0	2	0	2	2	2	2	1	2	0	1	2	0	1	0	2	0	1	2	0	0	2	2	1	2	3	1	110
