	GCF_000008685.2_ASM868v2_genomic	GCF_000021405.1_ASM2140v1_genomic	GCF_000166635.1_ASM16663v1_genomic	GCF_000166655.1_ASM16665v1_genomic	GCF_000171735.2_ASM17173v2_genomic	GCF_000171755.2_ASM17175v2_genomic	GCF_000172295.2_ASM17229v2_genomic	GCF_000172315.2_ASM17231v2_genomic	GCF_000172335.2_ASM17233v2_genomic	GCF_000181555.2_ASM18155v2_genomic	GCF_000181575.2_ASM18157v2_genomic	GCF_000181715.2_ASM18171v2_genomic	GCF_000181855.2_ASM18185v2_genomic	GCF_000382565.1_ASM38256v1_genomic	GCF_000444465.1_ASM44446v1_genomic	GCF_000501295.1_BorBurgIPT2_genomic	GCF_000501315.1_BorBurgIPT23_genomic	GCF_000501335.1_BorBurgIPT26_genomic	GCF_000501375.1_BorBurgIPT35_genomic	GCF_000501455.1_BorBurgIPT51_genomic	GCF_000501535.1_BorBurgIPT137_genomic	GCF_000502035.1_BorBurgIPT87_genomic	GCF_000502055.1_BorBurgIPT92_genomic	GCF_000502075.1_BorBurgIPT93_genomic	GCF_000502135.1_BorBurgIPT132_genomic	GCF_000502155.1_BorBurgIPT141_genomic	GCF_000769595.1_ASM76959v1_genomic	GCF_002083055.2_ASM208305v2_genomic	GCF_002151465.1_ASM215146v1_genomic	GCF_002151485.1_ASM215148v1_genomic	GCF_002151505.1_ASM215150v1_genomic	GCF_002442595.1_ASM244259v1_genomic	GCF_002995865.1_ASM299586v1_genomic	GCF_002995885.1_ASM299588v1_genomic	GCF_002995905.1_ASM299590v1_genomic	GCF_002995915.1_ASM299591v1_genomic	GCF_002995935.1_ASM299593v1_genomic	GCF_002995965.1_ASM299596v1_genomic	GCF_002995985.1_ASM299598v1_genomic	GCF_002996005.1_ASM299600v1_genomic	GCF_002996025.1_ASM299602v1_genomic	GCF_002996045.1_ASM299604v1_genomic	GCF_002996065.1_ASM299606v1_genomic	GCF_002996085.1_ASM299608v1_genomic	GCF_002996105.1_ASM299610v1_genomic	GCF_002996125.1_ASM299612v1_genomic	GCF_002996145.1_ASM299614v1_genomic	GCF_002996165.1_ASM299616v1_genomic	GCF_002996175.1_ASM299617v1_genomic	GCF_002996185.1_ASM299618v1_genomic	GCF_002996225.1_ASM299622v1_genomic	GCF_002996245.1_ASM299624v1_genomic	GCF_002996265.1_ASM299626v1_genomic	GCF_002996275.1_ASM299627v1_genomic	GCF_002996285.1_ASM299628v1_genomic	GCF_002996305.1_ASM299630v1_genomic	GCF_002996345.1_ASM299634v1_genomic	GCF_002996365.1_ASM299636v1_genomic	GCF_002996385.1_ASM299638v1_genomic	GCF_002996395.1_ASM299639v1_genomic	GCF_002996405.1_ASM299640v1_genomic	GCF_002996445.1_ASM299644v1_genomic	GCF_002996465.1_ASM299646v1_genomic	GCF_002996475.1_ASM299647v1_genomic	GCF_002996485.1_ASM299648v1_genomic	GCF_002996525.1_ASM299652v1_genomic	GCF_002996545.1_ASM299654v1_genomic	GCF_002996565.1_ASM299656v1_genomic	GCF_002996585.1_ASM299658v1_genomic	GCF_002996605.1_ASM299660v1_genomic	GCF_002996625.1_ASM299662v1_genomic	GCF_002996645.1_ASM299664v1_genomic	GCF_002996685.1_ASM299668v1_genomic	GCF_002996705.1_ASM299670v1_genomic	GCF_002996715.1_ASM299671v1_genomic	GCF_002996745.1_ASM299674v1_genomic	GCF_002996785.1_ASM299678v1_genomic	GCF_002996795.1_ASM299679v1_genomic	GCF_002996845.1_ASM299684v1_genomic	GCF_002996865.1_ASM299686v1_genomic	GCF_002996895.1_ASM299689v1_genomic	GCF_002996925.1_ASM299692v1_genomic	GCF_002996965.1_ASM299696v1_genomic	GCF_002996985.1_ASM299698v1_genomic	GCF_002997025.1_ASM299702v1_genomic	GCF_002997045.1_ASM299704v1_genomic	GCF_002997065.1_ASM299706v1_genomic	GCF_002997085.1_ASM299708v1_genomic	GCF_002997105.1_ASM299710v1_genomic	GCF_002997145.1_ASM299714v1_genomic	GCF_002997165.1_ASM299716v1_genomic	GCF_002997185.1_ASM299718v1_genomic	GCF_002997205.1_ASM299720v1_genomic	GCF_002997245.1_ASM299724v1_genomic	GCF_002997265.1_ASM299726v1_genomic	GCF_002997285.1_ASM299728v1_genomic	GCF_003367295.1_ASM336729v1_genomic	Total
OG0000010	8	5	4	9	8	6	5	5	8	6	6	6	5	0	0	3	6	2	2	4	2	3	3	4	2	3	7	6	6	7	7	7	1	3	3	4	3	4	3	1	3	3	4	3	3	4	4	3	2	4	4	4	2	4	4	4	3	3	2	2	3	2	4	2	3	2	4	2	4	5	4	4	2	0	3	3	2	4	3	4	4	4	3	3	4	3	4	4	4	2	3	3	4	4	2	3	6	362
OG0000011	9	7	11	10	10	6	7	5	9	9	6	7	9	0	0	1	1	2	2	1	2	2	2	3	4	4	8	7	6	8	8	8	3	2	3	4	2	2	4	1	4	4	3	3	3	3	0	3	5	0	0	3	4	1	3	4	4	4	4	2	1	6	1	2	5	3	5	3	4	3	4	4	1	2	3	3	0	0	1	5	0	4	5	2	0	3	3	2	3	3	4	2	2	2	3	3	9	358
OG0000012	8	6	6	9	7	5	5	5	9	8	6	5	6	0	0	1	1	2	2	2	3	1	6	1	3	5	7	7	6	7	7	7	4	3	4	3	2	3	4	2	2	3	6	5	4	4	3	2	6	4	4	2	4	3	3	2	2	3	3	3	1	2	2	4	2	4	2	4	2	3	4	2	2	3	4	5	5	4	4	2	4	2	3	5	4	2	3	3	2	1	1	3	3	2	2	3	5	355
OG0000013	8	6	6	9	9	7	5	5	9	8	6	5	7	0	0	2	1	4	0	3	2	4	3	4	2	3	7	7	6	7	7	7	4	4	2	3	2	1	1	3	3	5	4	3	1	4	3	2	6	3	4	4	3	4	3	3	4	5	4	2	1	6	3	1	1	2	4	4	4	2	5	2	1	2	2	3	3	3	1	3	3	4	4	3	2	4	3	2	4	1	4	2	3	2	2	1	6	352
OG0000014	8	5	4	9	7	5	4	5	8	6	7	5	5	0	0	2	1	1	1	2	1	3	2	3	1	4	7	5	6	6	7	6	4	6	3	2	1	2	2	2	4	3	3	4	2	5	4	3	3	4	4	3	3	4	3	4	4	4	3	2	2	6	2	3	4	3	4	3	4	5	7	4	3	2	3	3	3	4	4	2	4	2	3	4	4	4	3	2	4	3	2	3	3	3	2	3	1	348
OG0000015	5	4	4	6	5	6	4	4	4	2	4	3	4	0	0	6	4	6	3	7	3	3	5	6	4	7	5	3	3	3	3	4	4	4	3	3	2	3	3	4	3	2	3	2	3	2	3	3	6	3	3	4	6	3	4	3	2	3	5	2	3	4	3	3	2	4	5	6	3	5	4	4	4	4	2	3	3	3	3	3	3	4	4	2	3	1	4	3	1	4	2	5	4	3	4	3	3	345
OG0000016	4	4	4	4	6	4	4	3	5	4	4	3	4	0	0	1	2	3	2	0	4	5	5	4	2	3	4	4	3	4	4	4	4	2	4	4	2	3	2	3	4	6	5	4	2	5	4	4	5	4	5	3	5	5	3	3	3	3	3	2	2	2	3	4	4	4	3	5	2	4	3	4	4	3	4	5	5	5	4	2	4	3	3	4	4	3	2	4	3	4	3	5	2	4	3	4	5	341
OG0000017	4	4	4	3	3	1	5	2	3	3	5	2	5	0	0	3	3	3	1	4	3	6	3	3	4	1	4	3	2	1	2	4	4	3	3	5	4	5	5	4	2	3	3	5	5	3	3	3	4	3	3	5	5	3	5	3	2	3	4	4	5	3	5	3	5	3	3	5	3	3	3	3	5	5	5	3	2	3	3	5	3	5	5	5	3	3	5	5	3	3	5	4	5	3	3	3	3	339
OG0000018	7	2	2	8	4	2	4	1	6	7	3	2	4	0	0	2	1	2	0	1	0	3	1	3	4	2	7	5	5	6	6	5	2	4	5	1	4	3	3	4	2	6	2	5	3	5	4	3	6	4	3	1	6	4	3	3	2	3	4	4	3	3	2	5	2	6	2	6	3	3	3	3	2	2	5	5	4	4	6	0	4	1	3	5	4	2	4	4	3	3	2	6	4	3	2	6	3	332
OG0000019	8	5	4	9	7	5	4	5	8	6	8	5	5	0	0	1	2	1	1	2	1	2	4	2	2	4	7	6	6	7	7	6	3	3	2	3	3	3	2	2	3	2	3	4	2	3	2	2	4	3	3	4	3	3	3	2	4	4	4	2	2	4	3	3	2	2	5	3	2	5	2	3	3	1	5	2	4	2	2	4	2	4	4	5	3	3	3	3	3	1	4	3	3	4	1	3	2	331
OG0000020	6	4	4	6	7	4	2	3	9	5	4	4	3	0	0	5	2	2	3	4	3	1	3	5	2	0	5	5	5	6	6	3	2	4	2	4	3	3	1	3	3	3	4	3	1	4	4	3	4	4	4	3	6	4	1	4	4	4	4	3	1	4	3	3	3	1	3	6	4	4	4	3	2	1	3	3	3	4	3	3	4	3	1	3	4	3	1	3	3	4	3	4	3	3	3	1	3	323
OG0000021	4	5	3	6	7	2	3	2	6	7	1	2	3	0	0	4	1	1	2	1	2	3	3	2	3	3	4	4	0	1	1	2	6	6	5	1	1	2	2	3	5	4	6	3	2	5	5	4	4	5	6	1	3	5	2	1	0	1	5	1	2	4	1	5	1	5	6	3	5	6	6	6	1	6	3	5	4	5	5	1	5	1	2	2	5	1	2	3	1	5	1	5	2	6	6	5	5	319
OG0000022	8	5	3	9	7	5	4	5	8	6	7	5	5	0	0	2	1	2	1	2	0	2	2	2	1	3	7	5	6	6	7	5	3	5	3	2	1	1	2	2	4	4	3	3	2	4	3	3	3	3	3	2	3	3	3	2	3	2	3	1	2	5	2	3	3	3	4	3	3	3	6	4	2	2	2	3	3	3	4	2	3	2	3	3	3	2	3	2	3	3	2	3	3	3	1	3	1	312
OG0000023	8	7	6	9	8	6	7	5	9	8	6	5	7	0	0	1	2	1	2	1	1	1	1	2	0	0	7	6	6	7	7	7	3	3	3	3	3	1	5	1	1	3	3	3	4	4	4	1	1	2	3	1	2	4	5	2	1	2	3	2	2	4	2	1	1	2	2	1	4	3	3	2	0	4	4	2	3	2	2	2	4	2	6	3	2	1	5	2	2	1	1	2	5	1	1	3	6	309
OG0000024	9	5	4	9	7	5	4	5	9	7	8	5	5	0	0	2	1	2	3	3	2	4	3	3	2	2	8	7	7	8	8	6	4	1	3	4	1	0	2	2	3	3	3	0	2	2	3	2	3	3	3	3	2	3	2	2	2	3	2	2	0	0	3	3	2	4	2	2	0	4	0	3	2	2	0	2	3	3	2	3	3	3	3	0	3	2	2	1	2	2	2	4	2	4	2	3	3	299
OG0000025	5	2	3	3	2	0	6	1	3	2	0	2	4	0	0	3	0	0	1	1	2	4	3	3	1	3	4	2	4	2	4	4	4	3	3	3	4	4	6	2	2	3	2	4	6	3	3	3	5	3	2	4	2	3	6	4	4	4	2	4	4	3	4	3	4	3	2	2	3	2	3	3	4	4	4	3	1	3	3	4	3	4	6	4	3	4	6	4	4	2	5	2	6	3	3	3	2	298
OG0000026	8	6	6	9	9	6	5	5	9	7	6	5	7	0	0	2	3	3	5	1	3	3	4	4	2	1	7	6	6	7	7	7	3	0	0	4	3	2	3	3	3	0	1	4	3	1	0	1	3	1	0	3	1	1	4	4	4	4	4	2	2	1	2	2	2	1	2	2	1	3	1	1	3	2	2	1	1	1	1	3	1	3	5	3	1	4	4	1	3	0	3	2	4	0	0	1	5	295
OG0000027	8	6	6	9	8	6	5	5	9	7	6	5	7	0	0	2	2	2	2	1	2	2	2	2	0	0	7	6	6	7	7	7	2	2	2	1	3	3	3	1	1	2	2	4	2	2	3	1	1	2	2	1	2	2	3	4	2	4	2	2	2	2	1	1	2	2	3	1	2	3	1	2	0	2	4	2	3	2	2	2	2	1	5	3	3	4	3	3	3	0	3	2	3	1	1	2	6	289
OG0000028	8	5	5	9	7	5	4	5	8	6	7	6	5	0	0	2	0	1	3	3	0	3	2	1	0	5	7	5	6	7	7	6	4	1	1	3	1	0	2	2	2	3	3	3	2	2	3	1	3	3	3	3	3	3	2	2	2	2	3	2	1	2	2	1	1	3	3	3	3	2	3	3	1	2	3	3	3	3	3	4	3	3	3	3	3	2	2	0	2	2	4	3	1	2	1	1	2	288
OG0000029	9	7	6	9	7	5	5	5	9	7	11	5	7	0	0	4	0	2	1	1	0	2	1	3	2	1	7	8	7	8	9	7	2	2	2	4	2	1	2	1	2	0	1	2	1	2	0	2	5	1	1	4	2	0	2	2	2	2	3	1	1	2	3	2	2	2	2	3	1	3	2	3	3	0	1	0	0	1	2	4	1	5	4	2	0	3	1	1	3	1	3	3	2	2	3	2	5	284
OG0000030	8	5	4	9	7	5	4	5	8	6	7	5	5	0	0	1	1	2	2	1	1	1	1	1	1	3	7	5	6	5	7	6	2	1	1	3	2	0	2	2	3	4	3	3	2	2	3	2	2	3	3	3	2	3	2	2	2	2	3	2	2	2	3	1	2	3	3	3	3	3	2	4	3	2	2	3	3	3	4	3	3	3	2	2	3	2	2	0	2	2	3	3	3	3	1	1	2	284
OG0000031	8	5	4	9	7	5	4	5	8	6	8	5	5	0	0	2	3	3	3	3	0	4	3	2	0	4	7	6	6	5	7	6	2	2	2	1	1	1	3	2	2	1	1	2	3	1	2	2	3	1	1	4	3	1	2	2	1	2	4	2	2	3	2	2	1	2	4	3	3	2	3	3	1	2	2	2	1	1	2	2	1	4	3	2	1	2	2	2	2	2	3	3	3	3	1	2	2	278
OG0000032	8	6	5	9	9	7	5	5	9	7	6	5	7	0	0	1	1	1	3	1	1	1	1	3	1	0	7	6	6	7	7	7	3	0	1	4	3	2	4	3	2	1	1	4	4	1	0	1	3	1	0	2	3	1	4	3	2	3	3	2	1	1	1	2	2	1	2	2	1	3	1	2	2	2	3	1	1	1	1	3	1	2	6	3	1	3	4	2	2	0	3	3	5	0	0	1	6	278
OG0000033	7	5	3	9	8	6	5	5	8	6	5	5	5	0	0	1	2	2	1	2	0	2	1	2	0	1	6	5	5	6	6	6	2	1	2	2	2	3	3	2	2	4	2	2	3	2	2	2	3	3	2	3	2	3	3	3	2	4	3	1	2	1	4	3	4	0	2	1	3	2	3	2	2	0	2	3	2	2	3	3	3	3	3	1	2	3	3	3	2	2	3	1	3	2	0	2	3	276
OG0000034	8	5	4	8	7	5	5	5	9	7	8	5	5	0	0	3	3	2	3	2	2	1	3	2	2	0	7	7	6	6	7	6	2	2	3	4	1	1	2	2	3	2	2	1	2	2	1	2	3	1	1	4	3	2	2	2	2	2	4	2	0	1	2	2	1	3	3	3	0	3	1	3	1	2	1	2	1	2	2	4	1	4	3	1	1	2	2	1	2	2	1	2	2	2	2	2	3	273
OG0000035	4	3	2	5	2	2	1	2	4	4	2	2	3	0	0	3	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	3	2	5	3	4	3	4	3	4	1	3	3	3	3	3	4	2	3	4	5	2	3	4	3	3	3	3	4	2	4	5	3	3	3	3	2	3	4	3	4	3	4	1	3	3	4	4	4	2	4	2	2	3	4	3	3	3	3	2	2	2	2	2	2	4	1	273
OG0000036	8	6	4	9	7	5	5	5	9	7	8	5	5	0	0	2	1	1	2	2	1	2	3	2	1	0	7	7	6	6	8	6	3	2	2	3	1	1	2	2	1	1	2	2	2	2	1	3	3	2	2	4	3	1	3	1	1	1	4	1	0	1	1	2	0	2	4	3	1	2	1	3	1	2	2	2	1	2	2	4	2	4	3	2	2	1	3	1	2	1	1	3	2	2	3	2	4	270
OG0000037	8	7	5	9	8	6	5	5	9	6	6	5	7	0	0	3	0	2	2	3	2	4	3	5	2	4	7	6	6	7	7	7	2	0	2	2	2	2	3	2	1	2	1	3	3	1	1	1	2	1	1	3	1	1	2	1	2	1	2	2	3	1	1	3	2	2	3	0	1	3	1	2	0	1	2	2	1	1	2	2	2	3	2	3	1	1	3	2	2	1	1	1	2	2	2	1	4	269
OG0000038	5	2	3	3	3	1	2	1	5	4	3	2	2	0	0	2	5	4	3	4	2	4	2	4	3	3	4	7	5	6	6	4	1	3	3	4	2	2	2	2	1	5	3	2	2	4	2	2	3	2	2	3	3	5	3	3	3	3	2	3	1	3	3	2	2	3	2	3	2	2	3	2	2	1	2	3	3	2	3	3	2	3	3	3	2	3	3	2	3	2	3	4	3	2	1	2	2	269
OG0000039	8	7	5	9	9	7	6	6	9	6	7	5	7	0	0	3	3	2	3	1	2	4	3	3	2	0	7	6	6	7	7	8	2	0	2	1	2	2	4	2	2	1	0	2	4	1	1	1	2	1	1	3	1	0	3	2	2	2	2	2	3	1	2	2	3	1	3	0	1	3	1	2	0	1	3	1	0	1	1	2	1	3	2	2	0	2	4	1	1	0	3	1	3	1	0	1	4	266
OG0000040	8	5	4	9	7	5	5	5	9	7	8	5	5	0	0	3	1	3	3	3	2	2	3	3	3	0	7	7	6	6	7	6	4	2	0	3	2	0	1	2	3	2	1	1	1	2	1	2	3	2	2	4	1	2	1	2	2	2	2	2	0	1	3	0	2	2	3	1	0	3	0	3	1	2	1	0	2	2	0	4	1	4	2	1	2	2	1	0	2	2	2	1	2	2	2	0	3	258
OG0000041	8	5	4	9	7	5	4	5	9	7	8	5	5	0	0	3	2	2	1	2	2	2	3	2	2	1	7	6	6	6	7	6	4	1	1	3	2	0	1	2	3	2	1	1	1	2	1	2	3	1	2	3	2	2	1	2	2	2	3	2	1	0	3	1	2	2	3	2	1	3	0	3	1	2	1	1	1	2	1	4	0	4	2	1	2	2	1	1	2	2	2	2	1	2	1	1	4	257
OG0000042	8	5	5	9	8	6	5	5	8	6	6	5	7	0	0	1	1	1	2	2	1	3	2	2	1	4	7	6	6	7	7	7	2	0	0	1	2	3	3	2	2	2	1	2	3	0	1	2	4	2	1	2	2	1	2	1	1	0	4	1	1	1	1	3	2	1	2	2	2	2	2	2	2	0	2	2	0	1	2	3	2	2	2	1	1	1	2	3	1	0	1	2	2	2	1	1	4	251
OG0000043	9	5	4	9	7	5	4	5	8	7	8	5	5	0	0	2	1	3	2	2	2	3	2	1	2	2	7	6	7	6	8	6	2	1	3	1	2	1	2	1	3	1	1	1	2	1	2	2	3	1	1	3	2	2	2	1	2	3	2	2	0	1	3	3	0	1	2	2	1	1	2	1	1	1	1	1	0	1	2	3	2	3	2	1	1	1	2	1	1	0	2	1	2	0	0	2	2	243
OG0000044	8	5	4	9	7	5	4	5	9	7	8	5	5	0	0	2	1	2	2	2	1	1	1	2	0	3	7	5	5	5	7	6	3	0	2	2	1	1	2	2	1	2	1	1	2	0	3	2	2	1	1	3	2	1	2	2	2	2	3	1	1	0	3	1	0	1	2	3	0	4	0	3	2	1	1	1	1	1	3	1	2	3	3	1	1	2	2	1	2	1	1	2	3	2	2	2	2	241
OG0000045	1	3	3	1	4	3	0	4	3	2	3	3	3	0	0	0	1	1	2	1	2	3	3	2	1	3	0	1	1	2	2	3	2	4	3	4	3	2	1	2	1	3	3	1	1	3	4	2	2	3	4	2	2	2	1	3	3	3	2	2	3	4	3	3	4	2	3	3	4	3	4	3	2	2	1	3	3	4	3	2	4	2	1	2	3	3	1	4	3	4	3	2	1	3	4	3	3	234
OG0000046	8	6	5	9	7	5	6	5	9	9	7	5	6	0	0	1	3	0	3	2	1	2	2	0	0	1	7	7	6	7	7	7	2	0	2	0	0	0	3	0	3	2	1	2	2	1	2	1	3	1	0	1	0	1	1	1	2	1	1	2	0	0	1	3	2	2	3	1	0	4	1	2	2	0	0	0	1	1	3	1	2	1	4	2	1	1	3	0	1	2	0	0	1	3	2	1	4	233
