	GCF_000009085.1_ASM908v1_genomic	GCF_000011865.1_ASM1186v1_genomic	GCF_000017905.1_ASM1790v1_genomic	GCF_000025425.1_ASM2542v1_genomic	GCF_000171795.2_ASM17179v2_genomic	GCF_000184205.1_ASM18420v1_genomic	GCF_000302555.5_ASM30255v4_genomic	GCF_000430385.1_ASM43038v1_genomic	GCF_000466065.2_ASM46606v2_genomic	GCF_000466075.2_ASM46607v2_genomic	GCF_000466105.2_ASM46610v2_genomic	GCF_000468915.2_ASM46891v2_genomic	GCF_000493495.1_TS_genomic	GCF_000830775.1_ASM83077v1_genomic	GCF_000830805.1_ASM83080v1_genomic	GCF_000830825.1_ASM83082v1_genomic	GCF_000830845.1_ASM83084v1_genomic	GCF_000830865.1_ASM83086v1_genomic	GCF_000835285.1_ASM83528v1_genomic	GCF_000835305.1_ASM83530v1_genomic	GCF_000835345.1_ASM83534v1_genomic	GCF_000835365.1_ASM83536v1_genomic	GCF_000934305.1_ASM93430v1_genomic	GCF_001299565.1_ASM129956v1_genomic	GCF_001299595.1_ASM129959v1_genomic	GCF_001314285.1_ASM131428v1_genomic	GCF_001412295.1_ASM141229v1_genomic	GCF_001457695.1_NCTC11351_genomic	GCF_001506205.1_ASM150620v1_genomic	GCF_001506245.1_ASM150624v1_genomic	GCF_001506265.1_ASM150626v1_genomic	GCF_001506305.1_ASM150630v1_genomic	GCF_001506345.1_ASM150634v1_genomic	GCF_001506385.1_ASM150638v1_genomic	GCF_001506425.1_ASM150642v1_genomic	GCF_001506445.1_ASM150644v1_genomic	GCF_001506465.1_ASM150646v1_genomic	GCF_001506545.1_ASM150654v1_genomic	GCF_001506565.1_ASM150656v1_genomic	GCF_001506585.1_ASM150658v1_genomic	GCF_001506605.1_ASM150660v1_genomic	GCF_001506645.1_ASM150664v1_genomic	GCF_001506665.1_ASM150666v1_genomic	GCF_001506685.1_ASM150668v1_genomic	GCF_001506745.1_ASM150674v1_genomic	GCF_001506765.1_ASM150676v1_genomic	GCF_001506785.1_ASM150678v1_genomic	GCF_001506825.1_ASM150682v1_genomic	GCF_001506845.1_ASM150684v1_genomic	GCF_001506865.1_ASM150686v1_genomic	GCF_001506885.1_ASM150688v1_genomic	GCF_001506925.1_ASM150692v1_genomic	GCF_001506945.1_ASM150694v1_genomic	GCF_001507005.1_ASM150700v1_genomic	GCF_001507045.1_ASM150704v1_genomic	GCF_001507065.1_ASM150706v1_genomic	GCF_001507105.1_ASM150710v1_genomic	GCF_001507125.1_ASM150712v1_genomic	GCF_001507145.1_ASM150714v1_genomic	GCF_001507165.1_ASM150716v1_genomic	GCF_001507185.1_ASM150718v1_genomic	GCF_001507245.1_ASM150724v1_genomic	GCF_001507265.1_ASM150726v1_genomic	GCF_001587015.1_ASM158701v1_genomic	GCF_001717625.1_ASM171762v1_genomic	GCF_001721945.1_ASM172194v1_genomic	GCF_001865395.1_ASM186539v1_genomic	GCF_001865415.1_ASM186541v1_genomic	GCF_001865595.1_ASM186559v1_genomic	GCF_001870085.1_ASM187008v1_genomic	GCF_001870105.1_ASM187010v1_genomic	GCF_001951255.1_ASM195125v1_genomic	GCF_001951275.1_ASM195127v1_genomic	GCF_001951295.1_ASM195129v1_genomic	GCF_001951315.1_ASM195131v1_genomic	GCF_002028305.1_ASM202830v1_genomic	GCF_002101355.1_ASM210135v1_genomic	GCF_002209005.1_ASM220900v1_genomic	GCF_002209025.1_ASM220902v1_genomic	GCF_002209065.1_ASM220906v1_genomic	GCF_002214785.1_ASM221478v1_genomic	GCF_002224325.1_ASM222432v1_genomic	GCF_002224385.1_ASM222438v1_genomic	GCF_002238375.1_ASM223837v1_genomic	GCF_002407125.1_ASM240712v1_genomic	GCF_002587225.1_ASM258722v1_genomic	GCF_003030185.1_ASM303018v1_genomic	GCF_003060725.1_ASM306072v1_genomic	GCF_003060765.1_ASM306076v1_genomic	GCF_003060785.1_ASM306078v1_genomic	GCF_003368065.1_ASM336806v1_genomic	GCF_003368085.1_ASM336808v1_genomic	GCF_003368105.1_ASM336810v1_genomic	GCF_003368145.1_ASM336814v1_genomic	GCF_003368165.1_ASM336816v1_genomic	GCF_003368185.1_ASM336818v1_genomic	GCF_003368205.1_ASM336820v1_genomic	GCF_003368225.1_ASM336822v1_genomic	GCF_003368245.1_ASM336824v1_genomic	GCF_900475265.1_43024_F01_genomic	Total
OG0000010	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	3	3	1	1	2	1	0	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	4	1	184
OG0000011	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	1	1	2	2	2	2	2	2	2	1	2	2	1	1	1	1	3	2	1	1	2	179
OG0000012	3	1	1	2	2	1	2	3	3	3	3	3	1	3	3	3	3	3	2	2	3	3	1	2	2	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	3	3	3	2	2	3	3	1	3	3	3	1	4	3	3	3	2	1	1	3	1	2	1	1	1	1	1	2	3	0	2	3	176
OG0000013	2	3	0	2	3	2	2	4	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	3	3	1	1	2	2	2	2	3	2	0	1	2	1	2	5	3	4	2	2	2	1	0	6	2	2	4	3	3	1	2	172
OG0000014	3	3	1	3	2	2	2	3	2	2	2	2	1	3	3	3	3	3	2	2	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	3	3	2	2	2	3	1	2	3	2	3	2	3	3	3	2	2	1	1	1	3	3	2	2	2	1	3	171
OG0000015	3	2	1	3	2	2	3	1	3	3	3	3	1	3	3	3	3	3	2	1	3	3	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	2	2	2	2	1	1	3	3	1	3	3	3	1	1	3	1	3	1	2	2	3	1	3	1	1	1	1	1	2	1	2	1	3	168
OG0000016	2	3	1	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	2	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	2	2	2	2	2	2	0	0	2	2	1	2	5	2	1	3	2	4	3	2	3	2	2	1	2	2	2	0	2	2	2	0	3	1	2	167
OG0000017	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	3	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	2	2	2	0	1	2	3	2	1	1	2	163
OG0000018	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	2	1	1	2	2	2	2	1	2	3	2	2	2	2	3	2	2	2	2	2	1	2	2	2	2	3	2	2	2	1	1	2	161
OG0000019	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	2	2	1	1	3	1	1	2	1	2	1	2	1	2	2	1	2	1	1	1	2	1	1	1	2	3	1	160
OG0000020	3	2	1	3	1	2	2	3	2	2	2	2	1	3	3	3	3	3	1	2	2	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	1	1	1	1	1	2	2	1	3	1	3	1	3	3	1	3	3	2	3	2	1	2	1	1	1	1	1	3	2	3	1	3	158
OG0000021	2	2	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	3	2	2	2	2	2	2	2	4	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	1	1	2	2	3	2	2	2	2	158
OG0000022	2	3	1	2	2	3	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	4	2	2	2	2	1	1	2	2	1	2	1	2	1	1	2	1	2	3	3	2	2	1	2	1	1	1	4	2	2	1	2	1	2	151
OG0000023	2	1	1	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	0	0	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	0	1	1	1	1	1	2	2	1	2	0	2	1	0	2	2	2	1	1	1	2	1	2	1	1	0	0	1	1	1	1	0	2	149
OG0000024	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	3	3	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	148
OG0000025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	147
OG0000026	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	1	2	2	1	2	2	2	1	1	2	1	2	2	2	2	2	1	1	1	1	1	2	2	2	1	2	1	2	143
OG0000027	2	2	0	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	1	2	2	2	2	2	2	1	2	0	1	2	1	2	2	1	2	2	143
OG0000028	0	1	1	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	4	3	3	2	3	3	3	3	3	3	3	3	2	2	2	3	3	3	2	2	3	3	2	3	2	3	3	3	3	2	3	3	3	3	3	2	0	1	0	1	1	2	1	1	1	1	0	0	1	0	4	0	1	2	0	1	0	1	1	1	0	1	0	1	1	2	1	1	1	0	1	1	0	142
OG0000029	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	1	1	2	2	1	1	1	1	3	2	2	2	1	1	1	1	2	139
OG0000030	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	2	2	1	2	1	1	2	2	2	2	0	2	2	2	3	1	2	2	2	1	2	1	2	0	2	1	1	0	2	1	1	0	1	1	2	138
OG0000031	1	0	1	1	1	0	1	2	1	1	1	1	2	1	1	1	1	1	4	1	1	1	2	2	2	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	1	1	4	0	0	1	1	1	1	2	1	3	1	1	2	2	1	1	1	0	2	1	2	1	2	2	3	3	3	1	4	1	1	1	136
OG0000032	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	134
OG0000033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	134
OG0000034	2	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	2	2	1	2	1	2	1	1	2	1	2	2	1	1	2	1	2	1	1	1	1	2	2	2	2	1	2	134
OG0000035	2	1	1	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	3	1	1	1	1	2	2	1	2	2	2	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	134
OG0000036	1	2	1	2	3	2	1	3	1	1	1	1	1	1	1	1	1	1	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	4	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	2	3	1	1	1	1	1	2	3	2	1	1	1	1	131
OG0000037	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	2	1	2	2	2	1	2	2	130
OG0000038	4	0	0	3	4	0	3	4	2	2	2	2	0	3	3	4	4	4	2	2	2	2	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	2	1	3	2	2	0	0	4	3	0	4	4	2	0	2	3	2	3	4	0	2	2	0	2	0	0	2	2	0	4	1	2	2	3	130
OG0000039	1	0	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	0	1	1	1	1	1	1	1	130
OG0000040	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	4	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	126
OG0000041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	2	2	1	2	2	1	1	124
OG0000042	1	0	2	1	1	0	1	2	1	1	1	1	2	1	1	1	1	1	3	2	1	1	0	2	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	0	3	3	1	1	0	0	1	1	0	2	4	1	2	2	1	3	1	1	0	0	1	0	1	2	2	4	0	3	3	2	0	2	1	123
OG0000043	1	1	1	1	2	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	2	2	2	1	3	1	1	122
OG0000044	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	3	3	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	121
OG0000045	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	2	1	2	1	2	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	120
