	GCF_000027345.1_ASM2734v1_genomic	GCF_000143945.1_ASM14394v1_genomic	GCF_000283755.1_ASM28375v1_genomic	GCF_000319655.2_ASM31965v2_genomic	GCF_000319675.2_ASM31967v2_genomic	GCF_000331085.3_ASM33108v2_genomic	GCF_000387745.2_ASM38774v2_genomic	GCF_000733995.1_ASM73399v1_genomic	GCF_001272715.1_ASM127271v1_genomic	GCF_001272735.1_ASM127273v1_genomic	GCF_001272755.1_ASM127275v1_genomic	GCF_001272775.1_ASM127277v1_genomic	GCF_001272795.1_ASM127279v1_genomic	GCF_001272815.1_ASM127281v1_genomic	GCF_001272835.1_ASM127283v1_genomic	GCF_001272855.1_ASM127285v1_genomic	GCF_001272875.1_ASM127287v1_genomic	GCF_001272895.1_ASM127289v1_genomic	GCF_001272915.1_ASM127291v1_genomic	GCF_001296485.1_ASM129648v1_genomic	GCF_001296505.1_ASM129650v1_genomic	GCF_001296515.1_ASM129651v1_genomic	GCF_001296525.1_ASM129652v1_genomic	GCF_001296565.1_ASM129656v1_genomic	GCF_001296585.1_ASM129658v1_genomic	GCF_001296605.1_ASM129660v1_genomic	GCF_001296615.1_ASM129661v1_genomic	GCF_001296625.1_ASM129662v1_genomic	GCF_001296665.1_ASM129666v1_genomic	GCF_001296685.1_ASM129668v1_genomic	GCF_001296705.1_ASM129670v1_genomic	GCF_001296725.1_ASM129672v1_genomic	GCF_001296735.1_ASM129673v1_genomic	GCF_001296765.1_ASM129676v1_genomic	GCF_001296785.1_ASM129678v1_genomic	GCF_001296815.1_ASM129681v1_genomic	GCF_001296825.1_ASM129682v1_genomic	GCF_001296855.1_ASM129685v1_genomic	GCF_001296885.1_ASM129688v1_genomic	GCF_001296895.1_ASM129689v1_genomic	GCF_001296905.1_ASM129690v1_genomic	GCF_001455605.1_ASM145560v1_genomic	GCF_001455625.1_ASM145562v1_genomic	GCF_001455635.1_ASM145563v1_genomic	GCF_001455675.1_ASM145567v1_genomic	GCF_001455685.1_ASM145568v1_genomic	GCF_001455695.1_ASM145569v1_genomic	GCF_001455735.1_ASM145573v1_genomic	GCF_001455745.1_ASM145574v1_genomic	GCF_001455775.1_ASM145577v1_genomic	GCF_001455795.1_ASM145579v1_genomic	GCF_001509195.1_ASM150919v1_genomic	GCF_001558175.1_ASM155817v1_genomic	GCF_001901705.1_ASM190170v1_genomic	GCF_002090215.1_ASM209021v1_genomic	GCF_002090235.1_ASM209023v1_genomic	GCF_002090275.1_ASM209027v1_genomic	GCF_002090295.1_ASM209029v1_genomic	GCF_002090315.1_ASM209031v1_genomic	GCF_002095995.1_ASM209599v1_genomic	GCF_002096015.1_ASM209601v1_genomic	GCF_002096035.1_ASM209603v1_genomic	GCF_002127985.1_ASM212798v1_genomic	GCF_002128005.1_ASM212800v1_genomic	GCF_002128025.1_ASM212802v1_genomic	GCF_002128045.1_ASM212804v1_genomic	GCF_002128065.1_ASM212806v1_genomic	GCF_002128085.1_ASM212808v1_genomic	GCF_002128105.1_ASM212810v1_genomic	GCF_002128125.1_ASM212812v1_genomic	GCF_002128145.1_ASM212814v1_genomic	GCF_002128165.1_ASM212816v1_genomic	GCF_002128185.1_ASM212818v1_genomic	GCF_002128205.1_ASM212820v1_genomic	GCF_002128235.1_ASM212823v1_genomic	GCF_002128265.1_ASM212826v1_genomic	GCF_002128285.1_ASM212828v1_genomic	GCF_002147855.1_ASM214785v1_genomic	GCF_002355695.1_ASM235569v1_genomic	GCF_002355715.1_ASM235571v1_genomic	GCF_002563345.1_ASM256334v1_genomic	GCF_002563355.1_ASM256335v1_genomic	GCF_002563365.1_ASM256336v1_genomic	GCF_002563415.1_ASM256341v1_genomic	GCF_002563435.1_ASM256343v1_genomic	GCF_002563495.1_ASM256349v1_genomic	GCF_002563515.1_ASM256351v1_genomic	GCF_002563545.1_ASM256354v1_genomic	Total
OG0000017	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	172
OG0000018	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	171
OG0000019	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	0	1	2	1	3	3	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	170
OG0000020	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	168
OG0000021	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	1	2	2	1	1	2	1	2	2	2	2	1	2	1	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	162
OG0000022	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	161
OG0000023	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	1	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	159
OG0000024	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	1	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	158
OG0000025	2	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	2	1	2	2	1	1	1	2	1	2	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	2	1	144
OG0000026	2	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	1	2	2	2	1	1	2	1	2	2	2	2	1	2	1	2	3	2	3	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2	1	140
OG0000027	2	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	1	2	2	2	1	1	2	1	2	2	2	2	0	0	1	2	2	2	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2	1	137
OG0000028	3	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1	2	2	1	1	1	0	1	0	1	2	2	1	2	1	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	1	1	2	1	1	127
OG0000029	2	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	1	2	2	2	1	1	2	1	2	4	3	2	1	1	0	0	0	0	0	0	0	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2	1	127
OG0000030	2	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	1	2	2	2	1	1	2	1	2	4	3	2	1	1	0	0	0	0	0	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2	1	126
OG0000031	2	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2	2	1	1	2	1	2	1	2	0	0	0	0	0	1	1	1	1	0	1	2	2	1	2	2	2	3	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2	1	123
OG0000032	1	2	2	2	1	1	2	1	2	1	1	1	1	1	2	2	2	2	2	1	1	2	2	1	1	3	1	2	1	2	1	1	1	2	3	1	2	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	1	1	1	2	123
OG0000033	1	2	2	2	1	1	2	1	2	1	1	1	1	1	2	2	2	2	2	1	1	2	2	2	1	2	1	2	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	1	1	1	2	122
OG0000034	1	2	2	2	1	1	2	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	2	2	2	2	2	2	1	2	3	1	2	2	1	1	1	1	2	112
OG0000035	2	0	0	1	3	3	0	1	1	2	2	2	3	3	1	0	0	1	1	0	0	0	1	2	0	0	1	1	1	0	2	3	3	2	2	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	2	2	0	1	3	3	3	2	2	3	3	3	3	2	2	2	2	1	1	2	2	0	1	0	0	2	0	3	1	0	2	0	0	3	2	3	1	0	111
OG0000036	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	3	2	2	3	1	1	2	1	3	1	2	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	3	1	108
OG0000037	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	1	1	2	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	102
OG0000038	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	99
OG0000039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	94
OG0000040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	94
OG0000041	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	92
OG0000042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1	1	92
OG0000043	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	92
OG0000044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	91
OG0000045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	91
OG0000046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	91
OG0000047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	91
OG0000048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	91
OG0000049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	91
OG0000050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	91
OG0000051	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	91
OG0000052	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	91
OG0000053	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	91
OG0000054	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	91
