	GCF_001060475.1_ASM106047v1_genomic	GCF_001060695.1_ASM106069v1_genomic	GCF_001061115.1_ASM106111v1_genomic	GCF_001061275.1_ASM106127v1_genomic	GCF_001061295.1_ASM106129v1_genomic	GCF_001062045.1_ASM106204v1_genomic	GCF_001063095.1_ASM106309v1_genomic	GCF_001064675.1_ASM106467v1_genomic	GCF_001076355.1_ASM107635v1_genomic	GCF_001905915.1_ASM190591v1_genomic	GCF_001905945.1_ASM190594v1_genomic	GCF_001905975.1_ASM190597v1_genomic	GCF_001905995.1_ASM190599v1_genomic	GCF_001906025.1_ASM190602v1_genomic	GCF_001906045.1_ASM190604v1_genomic	GCF_001906055.1_ASM190605v1_genomic	GCF_001906065.1_ASM190606v1_genomic	GCF_001906105.1_ASM190610v1_genomic	GCF_001906115.1_ASM190611v1_genomic	GCF_001906135.1_ASM190613v1_genomic	GCF_001906145.1_ASM190614v1_genomic	GCF_001906185.1_ASM190618v1_genomic	GCF_001906195.1_ASM190619v1_genomic	GCF_001906205.1_ASM190620v1_genomic	GCF_001906225.1_ASM190622v1_genomic	GCF_001906265.1_ASM190626v1_genomic	GCF_001906275.1_ASM190627v1_genomic	GCF_001906285.1_ASM190628v1_genomic	GCF_001906295.1_ASM190629v1_genomic	GCF_001906355.1_ASM190635v1_genomic	GCF_001906385.1_ASM190638v1_genomic	GCF_001906425.1_ASM190642v1_genomic	GCF_001906435.1_ASM190643v1_genomic	GCF_001906445.1_ASM190644v1_genomic	GCF_001933015.2_ASM193301v2_genomic	GCF_001933075.2_ASM193307v2_genomic	GCF_002205865.1_ASM220586v1_genomic	GCF_002241885.1_ASM224188v1_genomic	GCF_002247435.1_ASM224743v1_genomic	GCF_002247695.1_ASM224769v1_genomic	GCF_002247815.1_ASM224781v1_genomic	GCF_002247825.1_ASM224782v1_genomic	GCF_002247945.1_ASM224794v1_genomic	GCF_002248245.1_ASM224824v1_genomic	GCF_002248875.1_ASM224887v1_genomic	GCF_002249045.1_ASM224904v1_genomic	GCF_002249645.1_ASM224964v1_genomic	GCF_002290405.1_ASM229040v1_genomic	GCF_002290435.1_ASM229043v1_genomic	GCF_002290485.1_ASM229048v1_genomic	GCF_002317935.1_ASM231793v1_genomic	GCF_003336935.1_ASM333693v1_genomic	Total
OG0000017	0	0	1	1	1	0	2	0	3	5	5	4	3	1	2	4	3	2	3	3	4	4	4	2	4	4	3	4	5	3	3	3	4	5	1	2	0	4	6	6	2	3	1	2	0	1	2	0	1	0	3	3	132
OG0000018	0	0	2	2	2	0	2	2	1	2	3	2	3	3	3	3	3	2	3	4	3	3	2	2	3	2	3	1	1	2	3	3	3	3	2	2	3	3	2	4	3	2	4	4	4	2	3	3	2	3	3	3	128
OG0000019	0	0	3	3	3	0	3	3	3	4	2	4	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	125
OG0000020	0	0	2	3	3	0	3	3	3	2	3	0	3	3	3	3	3	0	3	2	3	3	0	2	3	3	3	0	0	1	3	3	3	3	3	2	2	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	122
OG0000021	3	3	1	1	1	2	2	2	11	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	2	3	2	1	0	1	1	1	1	2	2	1	2	0	0	3	1	3	1	1	1	121
OG0000022	0	0	0	0	0	0	0	0	0	5	6	1	5	2	2	6	4	3	4	2	6	5	6	5	6	3	3	6	3	4	4	2	4	4	2	3	0	4	2	4	0	0	0	1	0	1	0	0	0	0	0	3	121
OG0000023	6	1	0	0	1	3	1	2	1	1	2	2	1	3	3	3	3	1	3	3	3	2	2	2	2	2	2	2	2	3	1	2	2	2	1	2	2	1	2	3	3	1	2	2	1	3	0	3	1	22	1	1	120
OG0000024	0	0	1	4	4	0	4	3	0	1	3	1	3	3	2	4	4	3	3	4	2	2	3	3	3	3	2	3	4	4	3	4	4	2	2	3	0	3	0	4	1	1	2	4	2	3	1	1	1	0	1	2	120
OG0000025	0	0	2	1	1	0	1	2	2	1	2	2	2	4	3	4	4	2	2	2	2	2	2	2	2	4	2	0	3	4	2	3	5	5	1	3	1	4	1	6	2	3	1	3	0	1	0	2	3	2	2	2	112
OG0000026	5	5	2	2	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	111
OG0000027	0	0	2	1	1	0	2	1	0	2	4	2	3	3	4	3	3	3	4	0	4	3	4	3	3	3	3	3	3	3	3	3	3	3	2	1	0	3	3	6	1	0	0	2	0	1	1	0	1	1	1	3	108
OG0000028	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	3	2	2	2	2	106
OG0000029	0	0	2	2	2	0	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	3	4	3	2	2	3	3	3	1	3	2	0	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	106
OG0000030	1	1	2	2	2	1	2	2	2	2	1	2	1	3	1	3	3	1	1	5	1	1	1	2	2	3	1	1	2	3	2	3	2	3	2	3	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	105
OG0000031	3	3	4	3	3	3	1	3	0	2	1	2	1	2	1	2	2	0	1	1	1	1	1	2	2	2	1	1	0	2	2	2	0	2	2	3	1	2	3	3	3	3	2	2	4	4	3	3	1	4	3	1	104
OG0000032	0	0	1	1	0	0	0	3	1	3	1	4	1	5	1	5	5	2	2	0	2	1	2	5	4	5	2	1	3	5	4	4	2	2	0	3	1	2	0	1	1	1	6	1	2	2	2	1	1	1	2	0	104
OG0000033	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	102
OG0000034	0	0	1	1	0	0	1	0	0	4	4	5	2	2	2	3	3	3	3	4	2	2	3	3	2	2	4	3	3	2	2	3	4	4	0	1	1	0	1	1	0	1	1	5	1	7	1	1	1	2	1	0	102
OG0000035	2	2	2	2	2	2	2	2	1	2	2	2	3	2	2	2	2	1	2	2	2	3	2	2	2	1	2	1	1	2	2	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	101
OG0000036	1	1	2	2	2	1	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	2	100
OG0000037	2	2	1	2	2	2	5	2	7	0	1	0	1	2	0	3	3	1	1	0	0	1	1	0	0	2	1	1	1	3	1	1	2	1	2	3	2	4	2	2	0	1	3	5	4	4	2	4	2	3	4	1	100
OG0000038	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	100
OG0000039	0	0	2	2	2	0	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	1	1	1	2	4	2	1	2	3	2	2	2	2	2	2	2	3	2	2	2	2	100
OG0000040	2	2	0	0	0	2	1	1	1	0	2	0	2	4	3	4	4	2	2	1	2	2	2	2	2	3	2	2	3	3	2	3	5	3	1	1	1	3	0	3	0	0	3	3	3	4	1	2	2	0	0	3	99
OG0000041	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	99
OG0000042	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	3	2	2	2	1	1	2	2	2	2	2	1	2	2	2	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	99
OG0000043	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	99
OG0000044	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	99
OG0000045	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	98
OG0000046	1	1	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	98
OG0000047	0	0	0	1	1	0	1	3	0	2	3	2	3	3	4	3	2	2	3	1	3	3	2	3	2	1	2	2	2	2	3	1	3	2	2	2	3	2	3	2	1	1	1	1	1	1	2	2	2	1	2	4	98
OG0000048	0	0	0	0	0	0	1	1	1	1	2	1	2	4	3	3	3	3	2	2	2	2	2	2	2	3	2	2	3	3	2	4	5	3	2	1	1	4	0	2	0	1	4	4	4	2	1	2	2	0	0	2	98
OG0000049	1	1	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	1	97
OG0000050	0	0	2	2	2	0	2	2	1	3	4	3	3	1	3	1	1	3	4	1	4	3	4	1	1	1	3	3	2	1	1	3	2	1	1	1	2	1	1	2	1	2	3	2	2	3	0	2	1	3	1	1	97
OG0000051	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	2	2	2	1	2	2	96
OG0000052	1	1	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	96
OG0000053	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	96
OG0000054	1	1	1	3	4	1	0	1	0	1	2	1	4	3	2	4	4	3	2	3	3	3	3	5	4	2	3	2	4	3	5	4	5	3	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	95
OG0000055	1	1	0	0	0	1	1	1	1	1	1	1	1	5	2	5	5	1	1	2	2	1	1	3	3	4	1	1	2	4	3	2	4	4	1	0	1	2	0	1	0	0	4	3	5	3	1	2	1	1	0	2	93
OG0000056	1	1	2	1	1	1	2	1	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	3	2	3	2	1	2	2	2	2	2	93
OG0000057	0	0	2	2	2	0	2	2	1	3	2	3	2	2	3	2	3	1	2	2	2	2	2	2	2	3	2	2	1	3	2	1	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	1	1	2	1	2	93
OG0000058	1	1	1	1	1	1	1	1	2	1	2	1	2	2	3	2	1	1	2	3	2	2	2	1	1	2	2	2	2	2	1	3	4	2	2	3	1	2	2	2	0	1	2	2	4	3	1	1	2	0	2	3	91
OG0000059	0	0	3	1	2	0	1	0	0	3	2	1	2	6	2	6	2	1	2	1	3	2	2	4	2	2	1	1	3	4	3	5	4	3	0	1	1	1	1	1	0	1	1	3	1	1	1	1	1	1	1	0	91
OG0000060	3	3	4	2	2	3	2	2	3	2	1	2	1	1	1	1	1	1	1	2	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	2	2	1	4	3	3	3	2	2	2	2	2	3	3	3	4	1	90
OG0000061	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	1	1	2	1	1	1	2	2	2	1	1	1	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	89
OG0000062	2	2	2	2	2	3	2	2	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	2	2	1	1	1	2	2	1	1	2	2	1	2	2	2	2	2	2	3	3	3	3	1	2	1	2	2	1	89
OG0000063	0	0	2	3	3	0	1	3	2	0	2	0	3	2	2	2	2	2	2	1	2	3	2	1	1	2	2	2	2	2	1	2	2	1	2	1	3	1	2	2	3	2	1	1	1	1	2	2	2	2	2	2	89
OG0000064	0	0	0	0	0	0	1	0	0	2	2	3	4	2	0	2	2	3	5	2	5	5	2	3	2	1	2	1	1	1	2	3	2	2	0	1	0	22	0	0	1	0	1	1	1	1	1	0	0	0	0	0	89
OG0000065	2	2	2	3	3	2	3	3	2	2	0	2	1	2	0	2	2	1	1	2	1	1	1	2	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	0	88
OG0000066	1	1	2	1	1	1	1	1	2	1	1	1	1	3	1	3	3	1	1	2	1	1	1	3	3	3	1	1	3	3	3	3	3	3	3	2	2	2	1	1	1	2	1	2	1	2	1	2	2	1	1	0	88
OG0000067	0	0	1	2	2	0	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	88
OG0000068	1	1	2	1	2	1	2	2	2	2	1	2	1	2	1	2	2	1	1	2	1	1	1	2	2	2	1	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	87
OG0000069	0	0	1	1	1	0	1	1	0	1	2	1	2	3	1	3	2	2	2	0	2	2	2	2	2	4	2	1	4	3	2	4	4	4	2	3	1	3	1	0	1	1	1	1	1	3	1	1	0	1	1	3	87
OG0000070	0	0	1	0	0	0	2	3	0	2	3	2	5	3	0	4	1	2	3	3	3	4	1	5	5	1	1	1	2	1	6	1	4	5	0	1	1	3	1	0	0	0	0	2	1	1	1	0	0	1	1	0	87
OG0000071	2	2	2	2	2	2	2	2	1	2	3	2	2	1	2	1	1	2	2	2	2	2	2	0	0	1	2	1	1	1	0	1	2	1	1	1	2	1	2	2	3	2	1	2	1	2	2	2	2	3	2	2	86
OG0000072	4	4	1	1	1	4	1	1	1	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	1	1	1	1	2	1	2	1	1	0	1	1	1	2	85
OG0000073	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	2	2	1	2	2	1	2	2	2	2	2	2	1	1	2	2	1	1	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	3	1	85
OG0000074	3	3	2	1	1	3	2	2	1	2	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	4	2	2	3	2	2	1	2	3	2	2	1	1	85
OG0000075	0	0	2	2	2	0	2	2	3	1	2	1	2	1	2	1	1	3	2	2	2	2	2	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	85
OG0000076	0	0	2	1	1	0	1	2	0	0	1	0	1	0	1	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	5	6	4	5	2	9	1	6	3	6	6	4	5	0	85
OG0000077	1	1	1	1	1	1	1	1	1	1	3	1	3	2	2	2	2	2	3	1	2	3	3	2	2	2	3	3	2	2	2	3	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	84
OG0000078	9	9	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	84
OG0000079	0	0	1	1	0	0	3	2	0	4	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	4	0	1	1	3	1	1	1	0	3	0	2	0	5	5	5	5	1	1	1	4	3	4	5	5	3	0	84
OG0000080	2	2	1	1	1	2	2	2	2	2	1	2	2	1	1	2	2	1	2	2	1	2	1	2	2	2	2	1	1	2	2	1	1	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	3	1	83
OG0000081	3	3	1	1	1	3	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	83
OG0000082	1	1	1	1	1	1	1	1	1	3	1	3	1	3	1	3	3	1	1	1	1	1	1	3	3	3	1	1	3	3	3	2	3	3	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	83
OG0000083	0	0	2	1	1	0	2	1	0	2	2	2	1	2	1	3	3	1	2	0	2	1	2	3	3	3	1	2	3	3	3	2	3	3	3	1	0	3	3	4	1	0	0	2	0	1	1	0	1	0	2	1	83
OG0000084	0	0	0	2	1	0	0	0	0	4	1	4	3	3	2	2	3	4	3	1	2	2	2	4	2	3	2	2	4	3	2	2	2	1	1	1	1	2	0	0	0	1	3	0	0	2	3	1	0	1	0	1	83
OG0000085	0	0	0	0	0	0	1	1	1	1	2	1	2	3	2	3	3	2	2	1	2	2	2	2	2	3	2	2	3	3	2	4	5	3	2	2	1	3	0	2	0	0	1	2	1	2	1	1	1	0	0	2	83
OG0000086	1	1	0	0	0	1	1	1	1	1	1	1	1	4	2	3	3	1	1	1	1	1	1	2	2	3	1	1	2	3	2	3	4	3	2	2	1	3	0	1	0	0	3	3	5	3	1	0	2	0	0	2	82
OG0000087	0	0	8	1	1	0	1	1	0	0	2	0	2	2	2	2	2	2	2	3	3	2	1	3	3	2	2	2	3	2	3	5	3	2	1	0	0	2	1	2	1	0	0	1	1	2	1	1	0	0	0	2	82
OG0000088	1	1	1	1	1	1	1	1	1	0	2	0	2	3	2	3	3	2	2	1	2	2	2	2	2	3	2	2	1	3	2	2	1	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	2	81
OG0000089	0	0	2	1	1	0	2	1	1	1	2	1	2	2	2	2	2	2	3	0	3	2	3	2	2	2	2	3	3	2	2	2	3	2	2	1	0	2	3	5	0	0	0	1	0	1	1	0	1	1	1	2	81
OG0000090	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	79
OG0000091	0	0	2	0	0	0	2	0	1	1	2	1	3	2	2	2	2	2	3	0	3	3	3	2	2	2	2	3	3	2	2	2	3	2	2	1	0	2	3	4	0	0	0	1	0	1	1	0	1	1	1	2	79
OG0000092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	1	0	0	0	0	0	0	2	27	0	42	0	79
OG0000093	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	78
OG0000094	3	3	1	1	1	3	1	1	1	2	2	2	2	2	1	2	2	1	2	1	1	2	2	2	2	2	2	2	0	2	2	0	0	2	0	2	1	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	78
OG0000095	1	1	2	2	2	1	3	2	2	3	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	78
OG0000096	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	78
OG0000097	1	1	2	1	1	1	3	1	1	2	2	2	1	0	1	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	1	2	3	2	3	3	1	2	2	2	2	1	78
OG0000098	0	0	2	1	1	0	1	1	1	2	3	2	3	2	3	2	2	1	3	1	3	3	2	0	1	2	3	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	3	78
OG0000099	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	77
OG0000100	0	0	1	0	0	0	2	1	1	1	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	2	1	1	1	2	2	1	1	1	2	2	77
OG0000101	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	3	2	2	2	2	2	2	2	1	76
OG0000102	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	76
OG0000103	0	0	2	0	0	0	2	0	1	1	2	1	2	2	2	2	2	2	3	0	3	2	3	2	2	2	2	3	3	2	2	1	3	2	2	1	0	2	3	4	0	0	0	1	0	1	1	0	1	1	1	2	76
