	GCF_000240095.2_ASM24009v3_genomic	GCF_000331815.1_ASM33181v1_genomic	GCF_000447375.1_C874_spades_genomic	GCF_000495935.2_ASM49593v2_genomic	GCF_000495955.1_NUHP2_genomic	GCF_000495975.1_NUHP3_genomic	GCF_000495995.1_NUH1_genomic	GCF_000496015.1_NUH4_genomic	GCF_000496035.1_NUH6_genomic	GCF_000496055.1_NUH11_genomic	GCF_000689455.1_E18064v1_PRJEB5242_genomic	GCF_000689515.1_E27107v1_PRJEB5243_genomic	GCF_000735205.1_ASM73520v1_genomic	GCF_000982575.1_PW2806_genomic	GCF_001011675.1_ASM101167v1_genomic	GCF_001050935.1_ASM105093v1_genomic	GCF_001051975.1_ASM105197v1_genomic	GCF_001482795.1_ASM148279v1_genomic	GCF_001521815.1_ASM152181v1_genomic	GCF_001596175.2_ASM159617v2_genomic	GCF_001618465.2_ASM161846v2_genomic	GCF_001618505.2_ASM161850v2_genomic	GCF_001618545.2_ASM161854v2_genomic	GCF_001703835.1_ASM170383v1_genomic	GCF_002022025.1_ASM202202v1_genomic	GCF_002022045.1_ASM202204v1_genomic	GCF_002022065.1_ASM202206v1_genomic	GCF_002022085.1_ASM202208v1_genomic	GCF_002023105.1_ASM202310v1_genomic	GCF_002023135.1_ASM202313v1_genomic	GCF_002023145.1_ASM202314v1_genomic	GCF_002023175.1_ASM202317v1_genomic	GCF_002023195.1_ASM202319v1_genomic	GCF_002023235.1_ASM202323v1_genomic	GCF_002023325.1_ASM202332v1_genomic	GCF_002023425.1_ASM202342v1_genomic	GCF_002023565.1_ASM202356v1_genomic	GCF_002023625.1_ASM202362v1_genomic	GCF_002023645.1_ASM202364v1_genomic	GCF_002023665.2_ASM202366v2_genomic	GCF_002023695.1_ASM202369v1_genomic	GCF_002023705.1_ASM202370v1_genomic	GCF_002024825.1_ASM202482v1_genomic	GCF_002277995.2_ASM227799v2_genomic	GCF_002310515.1_ASM231051v1_genomic	GCF_002310535.1_ASM231053v1_genomic	GCF_002843925.1_ASM284392v1_genomic	GCF_002843945.1_ASM284394v1_genomic	GCF_002888615.1_ASM288861v1_genomic	GCF_002951395.1_ASM295139v1_genomic	GCF_002951455.1_ASM295145v1_genomic	GCF_002995685.1_ASM299568v1_genomic	GCF_002995695.1_ASM299569v1_genomic	GCF_002995725.1_ASM299572v1_genomic	GCF_003293825.1_ASM329382v1_genomic	GCF_003293835.1_ASM329383v1_genomic	GCF_900092065.1_ASM90009206v1_genomic	GCF_900092085.1_ASM90009208v1_genomic	GCF_900156945.1_Elizabethkingia_anophelis_CIP108654_genomic	GCF_900156985.1_ASM90015698v1_genomic	GCF_900156995.1_ASM90015699v1_genomic	GCF_900157025.1_ASM90015702v1_genomic	Total
OG0000010	1	1	3	1	1	1	1	1	0	0	2	2	2	4	1	4	1	1	2	2	2	2	2	0	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	1	3	1	2	2	1	1	4	4	2	1	1	3	4	3	2	2	1	3	2	2	3	3	120
OG0000011	2	1	2	3	3	3	3	3	2	2	0	0	2	0	2	0	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	3	3	2	2	2	2	2	2	2	2	2	2	2	119
OG0000012	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	2	2	2	2	2	2	2	2	114
OG0000013	3	3	2	2	2	2	2	2	0	0	1	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	1	1	2	2	2	2	3	2	0	1	1	3	3	2	2	2	1	1	2	2	2	1	1	4	2	1	2	3	2	113
OG0000014	1	1	1	3	3	3	3	3	1	0	3	3	2	2	2	2	1	1	1	1	1	1	1	2	1	3	2	2	1	3	2	2	2	2	2	2	1	2	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	3	3	1	2	2	111
OG0000015	0	0	0	8	7	7	7	7	6	6	6	6	1	2	0	2	0	0	2	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	1	0	1	1	2	0	7	6	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	3	2	2	0	109
OG0000016	1	1	3	2	2	2	2	2	1	1	2	2	0	2	2	2	1	2	2	1	1	1	1	1	2	1	1	3	1	1	1	1	3	2	1	3	3	3	1	1	2	1	1	1	1	1	2	2	4	3	3	2	2	2	2	1	1	1	2	2	3	1	105
OG0000017	1	1	4	1	1	1	1	1	1	1	0	0	2	3	2	3	1	2	2	2	2	2	2	1	2	3	1	3	2	3	1	1	3	1	1	2	3	3	1	1	4	1	1	1	1	1	2	2	2	1	1	2	2	2	1	1	1	3	0	2	2	2	103
OG0000018	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	1	0	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	0	2	2	1	2	2	2	1	102
OG0000019	2	1	1	6	6	6	6	5	4	3	1	1	0	1	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	0	0	0	0	2	1	3	1	2	2	2	0	0	0	1	1	1	1	1	1	2	2	2	1	2	0	1	100
OG0000020	2	1	1	6	6	6	6	5	4	3	1	1	0	1	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	0	0	0	0	2	1	3	1	2	2	2	0	0	0	1	1	1	1	1	1	2	2	2	1	2	0	1	100
OG0000021	2	1	1	6	6	6	6	5	4	3	1	1	0	1	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	0	0	0	0	2	1	3	1	2	2	2	0	0	0	1	1	1	1	1	1	2	1	2	1	2	0	1	99
OG0000022	4	4	4	1	1	1	1	2	1	1	2	2	1	0	3	0	3	2	0	0	0	0	0	3	0	0	4	0	0	0	4	2	0	0	1	1	2	1	1	4	1	0	2	4	4	4	1	1	5	2	2	3	1	3	1	0	4	0	2	0	0	1	97
OG0000023	1	1	1	3	3	3	3	3	2	3	2	2	1	1	1	1	0	0	2	3	3	3	3	1	2	0	1	2	3	0	1	3	2	1	2	1	1	1	1	1	2	4	3	1	1	1	1	1	0	1	1	1	1	1	1	2	1	0	2	2	1	1	97
OG0000024	3	2	0	6	6	5	6	5	5	1	2	2	0	0	0	0	3	3	2	0	0	0	0	3	2	2	0	1	0	2	0	0	1	2	1	0	0	0	0	3	2	3	0	0	3	3	0	0	0	1	1	1	1	1	1	0	3	2	1	2	0	0	93
OG0000025	1	1	1	5	5	5	5	4	3	3	3	3	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	2	1	0	0	3	1	1	1	4	0	6	1	1	0	0	0	1	1	1	2	1	2	3	1	1	4	0	0	0	93
OG0000026	5	5	4	0	0	0	0	0	0	2	0	0	1	0	4	0	3	0	2	0	0	0	0	4	2	3	0	2	0	3	0	0	2	0	0	0	2	0	2	5	1	0	0	0	5	5	3	3	2	0	0	3	3	3	0	0	5	3	0	2	0	2	91
OG0000027	0	0	1	5	5	4	5	5	4	5	0	0	0	1	1	1	0	1	0	2	2	2	2	0	0	1	2	1	2	1	2	2	1	2	3	0	0	1	0	0	1	5	2	4	0	0	0	0	0	1	1	1	1	1	2	5	0	1	1	0	0	1	91
OG0000028	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	2	2	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	1	1	90
OG0000029	2	1	2	2	0	2	1	0	3	2	1	0	2	0	2	0	2	2	0	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	0	0	0	0	0	90
OG0000030	4	2	3	0	0	0	0	0	1	1	1	1	1	0	1	0	4	2	1	0	0	0	0	1	1	6	2	2	0	1	1	1	2	0	2	1	2	1	0	4	4	1	2	5	4	4	1	1	2	1	1	2	1	2	0	2	3	0	1	1	2	0	89
OG0000031	1	1	1	2	2	2	2	2	1	1	2	2	1	1	2	1	1	1	1	2	2	2	2	1	1	1	2	1	2	1	2	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	88
OG0000032	2	2	3	1	1	1	1	2	1	1	2	2	0	1	0	1	2	1	1	1	1	1	1	2	1	0	2	0	1	0	2	2	0	1	2	2	1	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	0	1	1	1	2	87
OG0000033	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	0	1	2	2	2	0	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	87
OG0000034	2	2	3	1	1	1	1	1	1	3	1	1	1	1	3	1	2	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	2	85
OG0000035	3	3	4	1	1	1	1	2	1	1	1	1	1	0	3	0	2	1	0	0	0	0	0	3	0	0	3	1	0	0	3	1	1	1	1	1	2	1	1	3	2	0	1	3	3	3	1	1	6	1	1	3	1	3	2	0	3	0	1	0	0	1	85
OG0000036	2	2	1	0	0	0	0	0	0	0	0	0	2	2	1	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	1	1	2	1	1	1	2	2	1	2	1	0	1	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	0	2	2	2	84
OG0000037	2	2	2	1	1	1	1	1	0	0	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	0	1	1	2	2	2	2	2	1	1	2	2	2	1	1	3	2	1	1	2	2	84
OG0000038	4	2	3	0	0	0	0	0	1	1	1	1	1	0	1	0	3	1	1	0	0	0	0	1	1	6	2	1	0	1	1	1	1	0	2	1	2	1	0	4	2	1	2	5	4	4	1	1	1	1	1	1	1	1	0	2	3	1	1	1	2	1	82
OG0000039	1	1	1	2	2	2	2	2	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	2	2	1	82
OG0000040	1	1	1	4	3	3	3	2	2	2	2	2	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	81
OG0000041	4	4	1	1	1	1	1	1	1	1	0	0	1	0	3	0	4	3	0	2	2	2	2	1	0	0	1	0	2	0	1	1	0	1	1	0	1	1	4	4	1	0	1	1	4	4	0	0	1	2	2	2	1	2	1	1	4	0	0	0	0	0	80
OG0000042	1	1	1	3	3	3	3	3	3	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	80
OG0000043	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	3	3	1	1	1	2	3	2	1	1	1	2	2	1	1	1	80
OG0000044	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	80
OG0000045	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	2	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	80
OG0000046	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	0	1	0	0	0	0	2	1	2	1	2	0	2	1	2	2	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	80
OG0000047	4	4	0	4	4	4	4	3	3	2	1	1	0	0	0	0	3	1	1	0	0	0	0	3	1	3	0	0	0	3	0	0	0	0	0	0	1	1	0	4	0	1	0	0	4	4	0	0	0	1	1	1	1	1	0	0	4	3	1	1	0	0	78
OG0000048	1	1	2	2	2	2	2	2	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	78
OG0000049	3	3	1	2	2	2	2	2	2	2	1	1	0	2	2	2	3	2	2	1	1	1	1	1	2	0	1	0	1	0	1	1	0	1	1	2	0	0	0	3	1	2	1	1	3	3	0	0	0	1	1	0	0	0	1	1	3	0	1	2	2	0	77
OG0000050	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	3	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	76
OG0000051	1	1	0	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	2	2	0	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	0	2	2	1	1	1	2	2	1	1	1	1	1	0	76
OG0000052	2	2	1	1	1	1	1	1	2	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	75
OG0000053	5	5	5	1	1	1	1	1	0	2	0	0	0	0	4	0	3	0	1	1	1	1	1	2	1	2	0	2	1	2	0	0	2	0	0	0	1	0	1	5	1	0	0	0	5	5	0	0	2	0	0	0	0	0	0	0	5	2	0	1	0	1	75
OG0000054	0	0	2	2	2	2	2	2	1	3	0	0	1	1	2	1	0	1	2	1	1	1	1	0	2	2	1	2	1	2	1	2	2	1	1	0	2	0	0	0	1	3	2	2	0	0	2	2	0	0	0	2	2	2	1	2	0	2	0	2	0	3	75
OG0000055	2	2	0	1	1	1	1	1	1	1	1	1	0	2	1	2	2	1	2	2	2	2	2	1	2	0	2	0	2	0	2	2	0	1	2	2	0	0	1	2	1	1	2	2	2	2	0	0	0	2	2	0	0	0	1	2	2	0	1	2	2	0	74
OG0000056	1	1	0	1	1	1	1	1	2	2	1	1	2	1	2	1	1	0	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	2	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	74
OG0000057	1	1	4	1	1	1	1	0	1	1	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	9	0	6	0	3	0	0	4	2	2	0	1	0	1	1	0	0	0	0	1	1	5	5	0	2	2	2	2	2	2	0	1	2	1	0	0	0	74
OG0000058	2	2	1	2	2	2	2	2	1	0	1	1	2	2	2	2	2	2	1	0	0	0	0	1	2	2	0	1	1	2	0	0	1	1	0	1	2	1	1	2	1	0	0	0	2	2	1	1	2	0	0	2	2	2	1	0	2	2	1	1	1	1	73
OG0000059	1	1	2	1	1	2	1	1	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	2	1	2	1	2	1	1	2	1	1	1	2	2	1	1	1	0	1	1	1	1	2	2	2	0	0	2	2	2	1	1	1	2	1	1	1	2	73
OG0000060	1	1	2	1	1	1	1	1	1	1	2	0	1	2	1	2	1	0	2	2	2	2	2	2	2	2	1	3	0	2	1	1	3	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	2	0	2	1	1	73
OG0000061	1	1	2	1	1	1	1	1	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	2	1	2	1	2	1	1	2	1	1	1	2	2	1	1	1	0	1	1	1	1	2	2	2	0	0	2	2	2	1	1	1	2	1	1	1	2	72
OG0000062	3	2	1	0	0	0	0	1	0	0	1	1	0	0	2	0	1	1	1	0	0	0	0	5	1	2	2	1	0	2	2	1	1	1	1	1	0	1	1	3	3	0	1	3	3	3	1	1	2	1	1	2	1	2	1	0	3	2	0	1	1	0	71
OG0000063	2	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	4	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	71
OG0000064	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	0	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	1	0	1	1	1	1	1	0	70
OG0000065	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1	0	1	1	1	70
OG0000066	1	1	1	2	2	2	2	2	1	0	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	70
OG0000067	3	3	2	0	0	0	0	0	0	2	1	1	0	0	2	0	1	1	2	0	0	0	0	2	2	0	0	3	0	0	0	1	3	1	1	1	5	0	2	3	0	1	1	0	3	3	1	1	2	1	1	1	1	1	1	1	3	0	0	2	0	3	69
OG0000068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	69
OG0000069	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	2	0	1	1	1	69
OG0000070	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	2	0	1	1	1	69
OG0000071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	69
OG0000072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	69
OG0000073	1	1	1	3	3	3	3	3	1	1	1	1	0	1	0	1	1	3	1	2	2	2	2	1	1	0	1	1	2	0	1	1	1	1	1	1	0	0	3	1	3	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	69
OG0000074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	68
OG0000075	2	2	1	1	1	1	1	1	2	2	2	2	0	1	2	1	2	1	1	1	1	1	1	2	1	0	1	1	1	0	1	1	1	2	1	0	0	0	2	2	1	2	1	1	2	2	1	1	0	0	0	1	1	1	2	1	2	0	2	1	0	0	68
OG0000076	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	68
OG0000077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	1	1	1	2	2	1	1	1	1	1	1	1	1	1	68
OG0000078	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	68
OG0000079	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	68
OG0000080	0	0	1	3	3	3	3	2	2	3	0	0	0	1	1	1	0	1	1	2	2	2	2	0	1	1	2	1	2	1	2	1	1	1	3	0	0	2	0	0	1	5	1	4	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	68
OG0000081	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	67
OG0000082	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	67
OG0000083	2	2	0	2	2	2	2	2	2	2	1	1	0	1	1	1	1	1	1	2	2	2	2	1	1	0	1	1	2	0	1	1	1	1	1	1	0	0	1	2	1	2	1	1	2	2	0	0	0	1	1	0	0	0	1	1	2	0	1	1	1	0	67
OG0000084	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	67
